indicator,median,p75,p95,max
ADX,0.7060954745869097,1.5206359497068007,4.009290505937917,29.833409362967622
ADX Change,0.07526905978002674,0.15881072205930202,0.42804689484412517,3.646831671893459
ATR Ratio,0.009331230574344818,0.01866752750504494,0.046916612603739104,0.606391293762047
