side,entry_time,exit_time,entry_price,exit_price,reason,pnl_pct,entry_year
SELL,2022-08-26 12:00:00,2022-08-26 12:00:00,21191.27,21382.418096942612,STOP,-0.9020134090246221,2022
SELL,2022-08-26 15:00:00,2022-08-26 16:00:00,21159.93,20556.671746368138,TAKE_PROFIT,2.850946357723595,2022
SELL,2022-08-30 15:00:00,2022-08-30 19:00:00,19832.33,20095.274843928906,STOP,-1.3258393942058468,2022
SELL,2022-09-06 18:00:00,2022-09-07 02:00:00,19102.3,18511.889484284613,TAKE_PROFIT,3.0907823440914775,2022
SELL,2022-09-18 17:00:00,2022-09-19 02:00:00,19744.94,19334.828152886912,TAKE_PROFIT,2.0770478264967465,2022
BUY,2022-09-21 18:00:00,2022-09-21 18:00:00,19867.91,19537.99182290517,STOP,-1.6605580410563103,2022
BUY,2022-09-26 09:00:00,2022-09-26 11:00:00,19273.55,19030.04291573762,STOP,-1.2634262201949256,2022
SELL,2022-09-27 17:00:00,2022-09-28 14:00:00,19110.79,19382.25,TREND_REVERSAL,-1.420454099490388,2022
BUY,2022-09-28 15:00:00,2022-09-29 13:00:00,19382.25,19015.562275073655,STOP,-1.8918738790715488,2022
SELL,2022-10-14 17:00:00,2022-10-16 19:00:00,19303.26,19375.39,TREND_REVERSAL,-0.3736674530623378,2022
BUY,2022-10-16 20:00:00,2022-10-16 20:00:00,19375.39,19277.0114404714,STOP,-0.5077500867265072,2022
SELL,2022-10-18 19:00:00,2022-10-18 20:00:00,19220.87,19402.765437083046,STOP,-0.9463434125668974,2022
BUY,2022-10-28 17:00:00,2022-10-31 00:00:00,20703.85,20542.43,TREND_REVERSAL,-0.7796617537317855,2022
SELL,2022-11-08 19:00:00,2022-11-08 19:00:00,18600.51,17413.46296785158,TAKE_PROFIT,6.381798306328252,2022
SELL,2022-11-16 16:00:00,2022-11-16 22:00:00,16431.7,16671.85015224862,STOP,-1.46150521399866,2022
BUY,2022-12-04 18:00:00,2022-12-05 00:00:00,17052.21,17236.43404005166,TAKE_PROFIT,1.080352869520492,2022
SELL,2022-12-25 21:00:00,2022-12-25 21:00:00,16769.01,16821.822943062947,STOP,-0.3149437150013553,2022
BUY,2022-12-26 03:00:00,2022-12-26 08:00:00,16889.77,16832.738491662338,STOP,-0.3376689459812814,2022
SELL,2022-12-27 15:00:00,2022-12-27 15:00:00,16771.85,16837.923997560596,STOP,-0.39395771820399955,2022
SELL,2023-01-03 17:00:00,2023-01-04 01:00:00,16621.93,16695.650573430074,STOP,-0.4435139206462383,2023
BUY,2023-01-04 04:00:00,2023-01-04 15:00:00,16862.61,16785.529986257436,STOP,-0.457106069241742,2023
BUY,2023-01-19 20:00:00,2023-01-20 07:00:00,21092.1,20873.82779624138,STOP,-1.0348528774214862,2023
BUY,2023-01-25 22:00:00,2023-01-25 22:00:00,23592.56,23272.943559803392,STOP,-1.3547340356307618,2023
SELL,2023-02-08 16:00:00,2023-02-09 03:00:00,22871.28,22526.458362688976,TAKE_PROFIT,1.507662174180993,2023
SELL,2023-02-13 02:00:00,2023-02-13 07:00:00,21709.1,21885.867166700336,STOP,-0.8142537769890869,2023
BUY,2023-02-17 20:00:00,2023-02-17 22:00:00,24524.49,24115.77926950047,STOP,-1.6665412022820185,2023
BUY,2023-02-23 03:00:00,2023-02-23 10:00:00,24531.61,24218.788787313202,STOP,-1.275176038942403,2023
SELL,2023-02-23 12:00:00,2023-02-23 13:00:00,23780.21,24091.7106773237,STOP,-1.3099155866314893,2023
SELL,2023-03-07 17:00:00,2023-03-08 05:00:00,22238.77,21880.583896529537,TAKE_PROFIT,1.6106381039529767,2023
BUY,2023-03-17 02:00:00,2023-03-17 10:00:00,25663.78,26583.351992309756,TAKE_PROFIT,3.583151010138634,2023
BUY,2023-03-23 16:00:00,2023-03-23 18:00:00,28580.86,28102.15149047198,STOP,-1.6749268899816867,2023
BUY,2023-03-26 13:00:00,2023-03-26 16:00:00,27919.73,27687.235877586976,STOP,-0.8327233909963436,2023
BUY,2023-03-28 20:00:00,2023-03-29 07:00:00,27425.98,28162.879062860404,TAKE_PROFIT,2.6868650194465404,2023
BUY,2023-03-31 15:00:00,2023-04-02 13:00:00,28521.78,28136.145364787528,STOP,-1.352070716527759,2023
BUY,2023-04-03 09:00:00,2023-04-03 14:00:00,28335.0,28044.813970829808,STOP,-1.024125742615819,2023
SELL,2023-04-03 21:00:00,2023-04-03 22:00:00,27582.77,27937.4862737124,STOP,-1.2860067125687453,2023
SELL,2023-04-05 16:00:00,2023-04-09 19:00:00,28031.09,28140.4,TREND_REVERSAL,-0.3899598624241915,2023
BUY,2023-04-09 20:00:00,2023-04-09 21:00:00,28140.41,28412.037284033122,TAKE_PROFIT,0.9652570237360513,2023
BUY,2023-04-18 08:00:00,2023-04-18 11:00:00,29775.61,30191.104314471486,TAKE_PROFIT,1.395418312073154,2023
SELL,2023-04-19 09:00:00,2023-04-20 12:00:00,29168.47,28479.086017214948,TAKE_PROFIT,2.363456097577464,2023
SELL,2023-04-26 20:00:00,2023-04-26 21:00:00,27884.25,28456.772434893606,STOP,-2.053210808587666,2023
BUY,2023-04-27 19:00:00,2023-04-28 08:00:00,29772.12,29199.27139361994,STOP,-1.9241109010042254,2023
SELL,2023-05-10 18:00:00,2023-05-10 20:00:00,27498.73,27883.11746027232,STOP,-1.397837137468963,2023
SELL,2023-05-16 02:00:00,2023-05-16 08:00:00,27024.64,27272.213952938517,STOP,-0.9161045362251535,2023
SELL,2023-05-18 18:00:00,2023-05-18 19:00:00,26489.0,26785.88903453984,STOP,-1.120801217636904,2023
BUY,2023-05-20 18:00:00,2023-05-20 19:00:00,27139.46,27020.839093817227,STOP,-0.437079095099063,2023
SELL,2023-05-21 12:00:00,2023-05-21 14:00:00,26829.93,26960.625779466343,STOP,-0.48712680005629194,2023
SELL,2023-05-24 04:00:00,2023-05-24 13:00:00,26786.01,26409.056155563267,TAKE_PROFIT,1.4072788162056677,2023
BUY,2023-06-02 09:00:00,2023-06-02 13:00:00,27166.13,26950.678843560218,STOP,-0.7930874086216311,2023
SELL,2023-06-07 10:00:00,2023-06-07 11:00:00,26486.28,26789.49934997271,STOP,-1.1448166747943123,2023
SELL,2023-06-13 16:00:00,2023-06-14 00:00:00,25759.54,26001.25935050539,STOP,-0.9383682725133577,2023
BUY,2023-06-29 11:00:00,2023-06-29 14:00:00,30697.12,30453.412004777394,STOP,-0.7939115956891232,2023
BUY,2023-07-06 07:00:00,2023-07-06 08:00:00,30692.57,31081.23039241936,TAKE_PROFIT,1.2663012332279724,2023
SELL,2023-07-10 22:00:00,2023-07-11 01:00:00,30302.22,30572.293657272046,STOP,-0.8912669014746947,2023
SELL,2023-07-20 15:00:00,2023-07-21 18:00:00,29782.2,30023.529700698822,STOP,-0.8103152241903601,2023
SELL,2023-07-27 19:00:00,2023-07-28 00:00:00,29141.38,29295.386903650826,STOP,-0.5284818483229855,2023
BUY,2023-07-31 01:00:00,2023-07-31 13:00:00,29461.55,29320.042872163267,STOP,-0.48031121185658004,2023
SELL,2023-08-02 15:00:00,2023-08-04 20:00:00,29275.13,28867.81047606922,TAKE_PROFIT,1.3913500091401216,2023
BUY,2023-08-13 19:00:00,2023-08-13 21:00:00,29422.13,29380.073581110064,STOP,-0.14294144880039972,2023
SELL,2023-08-13 23:00:00,2023-08-14 01:00:00,29319.42,29208.79424537091,TAKE_PROFIT,0.3773122204637308,2023
BUY,2023-08-14 04:00:00,2023-08-14 14:00:00,29399.91,29587.514881975323,TAKE_PROFIT,0.6381137968630626,2023
SELL,2023-08-14 19:00:00,2023-08-15 15:00:00,29330.01,29476.962393021287,STOP,-0.5010308316338421,2023
SELL,2023-08-24 15:00:00,2023-08-27 14:00:00,26116.06,26145.28,TREND_REVERSAL,-0.11188517716683728,2023
SELL,2023-09-04 22:00:00,2023-09-04 23:00:00,25677.72,25822.35491676762,STOP,-0.5632700908321294,2023
SELL,2023-09-08 11:00:00,2023-09-10 21:00:00,25831.21,25902.81,TREND_REVERSAL,-0.2771840730651107,2023
SELL,2023-09-11 12:00:00,2023-09-11 13:00:00,25601.27,25750.24969929808,STOP,-0.5819230815427554,2023
BUY,2023-09-15 23:00:00,2023-09-16 00:00:00,26776.32,26580.65181443155,STOP,-0.7307508483930989,2023
SELL,2023-09-27 15:00:00,2023-09-28 00:00:00,26192.91,26406.32540600821,STOP,-0.81478310736841,2023
BUY,2023-09-28 15:00:00,2023-09-28 16:00:00,26793.36,27191.194093216065,TAKE_PROFIT,1.4848234533334548,2023
BUY,2023-10-05 00:00:00,2023-10-05 07:00:00,27778.57,27574.59798118367,STOP,-0.7342783261209274,2023
BUY,2023-10-29 13:00:00,2023-10-30 02:00:00,34420.0,34243.87025830582,STOP,-0.5117075586699058,2023
BUY,2023-11-07 19:00:00,2023-11-08 23:00:00,35377.0,35997.69774638946,TAKE_PROFIT,1.754523408964746,2023
BUY,2023-11-10 17:00:00,2023-11-11 02:00:00,37377.47,36904.738036662675,STOP,-1.2647511009635652,2023
BUY,2023-11-15 16:00:00,2023-11-15 18:00:00,36402.43,37122.064819613784,TAKE_PROFIT,1.9768867617183363,2023
SELL,2023-11-21 15:00:00,2023-11-21 15:00:00,36635.97,36966.7440229607,STOP,-0.9028668354098462,2023
BUY,2023-11-22 19:00:00,2023-11-24 15:00:00,37197.99,38083.194416634906,TAKE_PROFIT,2.3797103462711506,2023
BUY,2023-11-28 16:00:00,2023-11-28 17:00:00,37513.2,38066.91654456638,TAKE_PROFIT,1.476057879803336,2023
BUY,2023-12-08 15:00:00,2023-12-10 09:00:00,43962.99,43606.8,TREND_REVERSAL,-0.8102042195037122,2023
SELL,2023-12-19 18:00:00,2023-12-19 19:00:00,41854.07,42367.87619459289,STOP,-1.2276134545407245,2023
BUY,2023-12-20 14:00:00,2023-12-20 20:00:00,43769.44,43291.68978253855,STOP,-1.091515489943324,2023
BUY,2023-12-25 15:00:00,2023-12-25 19:00:00,43674.1,43347.10844997007,STOP,-0.7487081589086716,2023
SELL,2023-12-26 06:00:00,2023-12-26 16:00:00,42764.85,42083.301390327746,TAKE_PROFIT,1.5937121483467205,2023
BUY,2023-12-27 11:00:00,2023-12-27 12:00:00,43195.56,42820.340064511896,STOP,-0.8686539438037181,2023
SELL,2023-12-28 15:00:00,2023-12-29 14:00:00,42664.0,43065.38851972879,STOP,-0.9408131439358455,2023
BUY,2024-01-04 21:00:00,2024-01-05 01:00:00,44113.68,43438.52700898674,STOP,-1.5304844007873737,2024
BUY,2024-01-10 23:00:00,2024-01-11 06:00:00,46902.69,45731.68696312631,STOP,-2.496664982059007,2024
SELL,2024-01-18 17:00:00,2024-01-18 19:00:00,41948.99,41138.325729865675,TAKE_PROFIT,1.932500091502376,2024
BUY,2024-01-31 16:00:00,2024-01-31 20:00:00,43361.11,42891.52835830718,STOP,-1.0829557677209394,2024
BUY,2024-02-01 18:00:00,2024-02-04 06:00:00,42923.99,42746.13,TREND_REVERSAL,-0.41436036118730013,2024
BUY,2024-02-05 11:00:00,2024-02-05 15:00:00,43143.35,42839.73340595981,STOP,-0.7037390328757307,2024
