asset,n,exp_ci_low,exp_ci_high,prob_exp_positive,prob_pf_gt_1,median_pf
BTC,20,-0.7739086459334997,1.5233417507956422,70.5,70.5,1.4096775769696657
ETH,14,-1.1994668455547686,3.5356082961244812,84.76,84.76,2.016925822409249
SOL,13,-1.1565930604148245,2.5186593229669705,74.185,74.185,1.5425985051269286
