entry_time,exit_time,entry_price,exit_price,bars_held,pnl_pct,year
2020-04-01 23:00:00,2020-04-02 22:00:00,6520.76,6842.71,24,4.937307921162561,2020
2020-07-11 00:00:00,2020-07-11 23:00:00,9288.34,9234.03,24,-0.5847115846319094,2020
2021-01-03 06:00:00,2021-01-04 05:00:00,33758.67,32813.01,24,-2.8012359491650476,2021
2021-02-11 14:00:00,2021-02-12 13:00:00,47555.46,47871.4,24,0.6643611480153958,2021
2021-12-26 23:00:00,2021-12-27 22:00:00,50973.65,51020.06,24,0.09104704097116101,2021
2022-06-07 20:00:00,2022-06-08 19:00:00,31059.71,30140.14,24,-2.960652240474878,2022
2022-07-19 15:00:00,2022-07-20 14:00:00,22626.18,24191.35,24,6.9175176720064915,2022
2022-08-10 13:00:00,2022-08-11 12:00:00,23983.92,24862.02,24,3.661203006014039,2022
2023-01-25 22:00:00,2023-01-26 21:00:00,23592.56,23081.77,24,-2.1650469470036353,2023
2023-02-17 20:00:00,2023-02-18 19:00:00,24524.49,24608.34,24,0.34190313437710035,2023
2023-08-14 04:00:00,2023-08-15 03:00:00,29399.91,29402.01,24,0.0071428790088083425,2023
2023-09-15 23:00:00,2023-09-16 22:00:00,26776.32,26560.01,24,-0.8078406592093362,2023
2023-11-07 19:00:00,2023-11-08 18:00:00,35377.0,35589.57,24,0.600870622155637,2023
2024-01-04 21:00:00,2024-01-05 20:00:00,44113.68,43955.07,24,-0.3595483305858876,2024
2024-05-15 13:00:00,2024-05-16 12:00:00,63757.57,66011.01,24,3.5343881518696447,2024
2024-05-17 15:00:00,2024-05-18 14:00:00,66806.67,66793.66,24,-0.019474103409127804,2024
2024-09-17 11:00:00,2024-09-18 10:00:00,59235.99,59907.49,24,1.1336013798368187,2024
2025-01-20 07:00:00,2025-01-21 06:00:00,107482.36,102176.04,24,-4.936921742321259,2025
2025-03-25 20:00:00,2025-03-26 19:00:00,88116.23,86567.19,24,-1.75795083380212,2025
2025-05-18 23:00:00,2025-05-19 22:00:00,105928.11,105549.92,24,-0.3570251560232712,2025
2025-08-10 04:00:00,2025-08-11 03:00:00,118500.0,121728.99,24,2.7248860759493714,2025
2025-09-30 20:00:00,2025-10-01 19:00:00,114359.99,117439.53,24,2.692847384824005,2025
2026-04-13 15:00:00,2026-04-14 14:00:00,72400.15,75013.62,24,3.6097577145903728,2026
2026-05-05 03:00:00,2026-05-06 02:00:00,80554.69,81363.54,24,1.0041004440585537,2026
2026-06-14 22:00:00,2026-06-15 21:00:00,65311.59,66368.15,24,1.6177220612757974,2026
