column,binance_signals,bybit_signals,same_timestamp,union,jaccard_pct
Base_Buy,45,45,34,56,60.71428571428571
Base_Sell,68,69,43,94,45.744680851063826
V15A_Buy,25,24,18,31,58.06451612903226
V15A_Sell,24,27,16,35,45.714285714285715
V15B_Buy,13,13,9,17,52.94117647058824
V15B_Sell,12,16,7,21,33.33333333333333
