market,year,trades,wr,pnl,pf,exp,median,dd,equity
BINANCE,2020,2,50.0,4.3525963365306515,8.444005644715796,2.1762981682653257,2.1762981682653257,-0.5847115846319251,104.32372732514665
BINANCE,2021,3,66.66666666666666,-2.045827760178491,0.2696696039516836,-0.6819425867261636,0.09104704097116101,-2.8012359491650485,97.93359941108662
BINANCE,2022,3,66.66666666666666,7.618068437545652,3.5731047819124284,2.5393561458485507,3.661203006014039,-2.9606522404748814,107.55063539463214
BINANCE,2023,5,60.0,-2.022970970671426,0.319526588747027,-0.40459419413428516,0.0071428790088083425,-2.616643460402157,97.96850451991337
BINANCE,2024,4,50.0,4.288967097711448,12.315866062344618,1.072241774427862,0.5570636382138455,-0.3595483305858904,104.31126169971986
BINANCE,2025,5,40.0,-1.6341642713732734,0.7682660280333049,-0.3268328542746547,-0.3570251560232712,-6.941516553290727,98.16842758769742
BINANCE,2026,3,100.0,6.231580219924724,inf,2.0771934066415745,1.6177220612757974,0.0,106.34305156743292
BYBIT,2020,2,50.0,0.48738867104171835,1.9621259765798005,0.24369433552085917,0.24369433552085917,-0.5065746928217263,100.48235350418446
BYBIT,2021,2,50.0,2.4496074270984174,1.9377724197273087,1.2248037135492087,1.2248037135492087,-2.6121555460233425,102.31738630486946
BYBIT,2022,1,0.0,-2.9565693489428173,0.0,-2.9565693489428173,-2.9565693489428173,-2.956569348942817,97.04343065105718
BYBIT,2023,5,40.0,-2.2438421251917795,0.292882152088462,-0.4487684250383559,-0.10510061087604745,-2.8351772958483012,97.75013477774888
BYBIT,2024,6,50.0,10.44506196293133,7.739361384572804,1.740843660488555,0.5403911802698045,-1.4873220762449346,110.64364496069547
BYBIT,2025,5,40.0,-1.7575243337695015,0.7541097864818763,-0.3515048667539003,-0.40071023411106044,-7.033678427127976,98.04479316505154
BYBIT,2026,3,100.0,6.245417669507919,inf,2.081805889835973,1.6092123039030959,0.0,106.35715354534265
OKX,2020,1,100.0,5.012273703590055,inf,5.012273703590055,5.012273703590055,0.0,105.01227370359005
OKX,2021,3,66.66666666666666,-1.6203155072687645,0.37304141781374167,-0.5401051690895882,0.3532400023628123,-2.5844059772155648,98.35687048371581
OKX,2022,2,50.0,0.6706430377652604,1.2254710602616645,0.3353215188826302,0.3353215188826302,-2.9744084983099994,100.56222431510847
OKX,2023,6,33.33333333333333,-3.965543184945032,0.16169244648248685,-0.6609238641575054,-0.45892937225564556,-4.3663255023170695,96.07115064445566
OKX,2024,6,50.0,8.503722780942594,3.383806124058302,1.417287130157099,0.543004764459098,-2.433096741079732,108.4798651304536
OKX,2025,5,40.0,-1.794863499119395,0.7499628666545131,-0.358972699823879,-0.37351199468246365,-7.0639709790481175,98.00660021766078
OKX,2026,3,100.0,6.250692098597309,inf,2.0835640328657696,1.6302857519275644,0.0,106.36267410463043
