side,regime,trades,wins,losses,win_rate,pnl,expectancy,avg_win,avg_loss,profit_factor,max_drawdown,max_loss_streak,ending_equity
BUY,BULL,32,15,17,46.875,17.973299067896257,0.561665595871758,2.75437789373033,-1.3730805492975706,1.7699860630082476,-6.225619683100048,4,118.50363549167444
BUY,BEAR,24,6,18,25.0,-2.797494759398874,-0.11656228164161975,3.030378192206825,-1.1655424395911012,0.8666574718834921,-9.576579665900088,9,96.7054170276274
BUY,NEUTRAL,13,4,9,30.76923076923077,-4.76929273895605,-0.3668686722273885,1.9304225579057646,-1.387886996731012,0.6181811511400264,-5.626850007192163,4,95.16829639546829
SELL,BULL,44,12,32,27.27272727272727,-30.72165641959612,-0.69821946408173,2.7801600386009597,-2.0026117775877386,0.5206001613209245,-32.05702952053119,10,72.47684634068762
SELL,BEAR,33,14,19,42.42424242424242,11.994581900963388,0.36347217881707233,2.899957564737888,-1.5055170529140554,1.4193202481760723,-9.769990635404625,7,111.32011657561888
SELL,NEUTRAL,21,5,16,23.809523809523807,-5.539788561016529,-0.2637994552865014,3.193998082045554,-1.3443611857027686,0.7424525575821823,-13.197776168311359,7,94.16379834942354
