entry_time,exit_time,entry_price,exit_price,pnl_pct,year,asset
2021-10-20 13:00:00,2021-10-21 12:00:00,3938.25,4235.15,7.388881482892138,2021,ETH
2021-10-31 16:00:00,2021-11-01 15:00:00,195.06,204.09,4.479344816979391,2021,SOL
2022-02-16 20:00:00,2022-02-17 19:00:00,3166.9,2908.1,-8.32202942941047,2022,ETH
2022-03-29 13:00:00,2022-03-30 12:00:00,114.705,114.965,0.07666841026982707,2022,SOL
2022-06-07 20:00:00,2022-06-08 19:00:00,31049.5,30131.5,-3.106569348942817,2022,BTC
2022-07-08 19:00:00,2022-07-09 18:00:00,38.87,38.6,-0.8446231026498483,2022,SOL
2022-07-16 16:00:00,2022-07-17 15:00:00,1273.7,1350.65,5.891454031561595,2022,ETH
2022-07-18 05:00:00,2022-07-19 04:00:00,40.885,43.275,5.695664669194082,2022,SOL
2022-08-10 13:00:00,2022-08-11 12:00:00,1822.55,1925.65,5.506909275465701,2022,ETH
2022-10-06 02:00:00,2022-10-07 01:00:00,34.435,33.445,-3.024981849862064,2022,SOL
2023-01-25 22:00:00,2023-01-26 21:00:00,23618.0,23082.5,-2.4173384706579726,2023,BTC
2023-02-17 20:00:00,2023-02-18 19:00:00,24526.8,24607.0,0.17698925257269896,2023,BTC
2023-03-21 13:00:00,2023-03-22 12:00:00,1804.6,1794.6,-0.704139421478444,2023,ETH
2023-03-26 09:00:00,2023-03-27 08:00:00,1773.77,1755.25,-1.1941038015075225,2023,ETH
2023-05-05 12:00:00,2023-05-06 11:00:00,1910.56,1933.79,1.0658738799095564,2023,ETH
2023-06-29 11:00:00,2023-06-30 10:00:00,1867.65,1891.35,1.1189743795678964,2023,ETH
2023-06-30 18:00:00,2023-07-01 17:00:00,1931.2,1917.81,-0.8433512841756473,2023,ETH
2023-07-15 11:00:00,2023-07-16 10:00:00,28.882,27.792,-3.9239768714077963,2023,SOL
2023-08-14 05:00:00,2023-08-15 04:00:00,29400.4,29369.5,-0.25510061087604746,2023,BTC
2023-09-15 23:00:00,2023-09-16 22:00:00,26761.3,26547.0,-0.9507832205460844,2023,BTC
2023-09-16 03:00:00,2023-09-17 02:00:00,19.208,18.972,-1.3786547271969862,2023,SOL
2023-11-07 19:00:00,2023-11-08 18:00:00,35408.9,35622.2,0.4523909243156258,2023,BTC
2023-12-06 01:00:00,2023-12-07 00:00:00,63.247,63.102,-0.37925988584439285,2023,SOL
2024-01-04 22:00:00,2024-01-05 21:00:00,44456.0,43957.7,-1.2708835702717358,2024,BTC
2024-02-01 20:00:00,2024-02-02 19:00:00,43201.1,43041.0,-0.520592415470899,2024,BTC
2024-02-26 16:00:00,2024-02-27 15:00:00,52899.2,56780.0,7.1862168047910036,2024,BTC
2024-05-15 13:00:00,2024-05-16 12:00:00,63727.1,65970.0,3.3695387833433528,2024,BTC
2024-05-17 15:00:00,2024-05-18 14:00:00,66799.9,66760.9,-0.20838332093311518,2024,BTC
2024-09-17 11:00:00,2024-09-18 10:00:00,59210.0,59884.5,0.9891656814727242,2024,BTC
2024-11-13 15:00:00,2024-11-14 14:00:00,3323.25,3110.22,-6.560291130670285,2024,ETH
2024-11-27 11:00:00,2024-11-28 10:00:00,3458.19,3606.01,4.124490412614696,2024,ETH
2025-01-20 07:00:00,2025-01-21 06:00:00,107542.7,102161.9,-5.153407948656676,2025,BTC
2025-03-25 20:00:00,2025-03-26 19:00:00,88053.8,86518.6,-1.8934795545450587,2025,BTC
2025-04-14 05:00:00,2025-04-15 04:00:00,133.58,130.76,-2.2610944752208573,2025,SOL
2025-04-21 01:00:00,2025-04-22 00:00:00,141.12,137.14,-2.9702947845805117,2025,SOL
2025-05-18 23:00:00,2025-05-19 22:00:00,105936.9,105512.4,-0.5507102341110605,2025,BTC
2025-08-10 04:00:00,2025-08-11 03:00:00,118488.9,121709.4,2.567976114218294,2025,BTC
2025-08-26 20:00:00,2025-08-27 19:00:00,197.33,206.34,4.415955506005163,2025,SOL
2025-08-26 20:00:00,2025-08-27 19:00:00,4594.0,4562.4,-0.8378537222464163,2025,ETH
2025-09-30 20:00:00,2025-10-01 19:00:00,114314.7,117369.3,2.522097289325,2025,BTC
2026-01-13 16:00:00,2026-01-14 15:00:00,3183.07,3344.41,4.918691546211666,2026,ETH
2026-01-13 16:00:00,2026-01-14 15:00:00,143.44,146.99,2.3249023982152894,2026,SOL
2026-03-15 09:00:00,2026-03-16 08:00:00,2112.02,2242.63,6.0341270442514805,2026,ETH
2026-04-13 15:00:00,2026-04-14 14:00:00,72348.4,74974.2,3.479382266919522,2026,BTC
2026-05-05 03:00:00,2026-05-06 02:00:00,80520.6,81331.3,0.8568230986853017,2026,BTC
2026-06-14 22:00:00,2026-06-15 21:00:00,65286.6,66337.2,1.459212303903096,2026,BTC
2026-06-14 22:00:00,2026-06-15 21:00:00,70.12,74.41,5.968083285795767,2026,SOL
