atr_band,trades,wins,losses,win_rate,pnl,expectancy,avg_win,avg_loss,profit_factor,max_drawdown,max_loss_streak,ending_equity
0.80-1.00,39,11,28,28.205128205128204,-9.219833966054749,-0.23640599912960894,2.5477757254863875,-1.330191676657322,0.7524568900254943,-13.207951345000657,10,90.5431013343596
1.00-1.20,53,23,30,43.39622641509434,28.266432253480744,0.5333289104430329,3.1371430668474773,-1.4629286094670415,1.6440604157660264,-12.21441842780122,7,129.90657091081502
1.20+,66,21,45,31.818181818181817,-26.38245517582366,-0.3997341693306615,2.6768375292101063,-1.835467628649687,0.6805845156112714,-31.47920262333852,10,75.23616844179911
<0.80,9,1,8,11.11111111111111,-6.524494621710259,-0.7249438468566954,0.7575329393342065,-0.9102534451305582,0.10402774954968079,-6.369245127924373,6,93.63075487207563
