market,variant,exit_model,trades,win_rate,pnl,pf,expectancy,dd,avg_bars
BINANCE_SPOT,V1.5A_CURRENT,SL1.5_TP3.0,25,40.0,0.9205775072345026,1.0435536726536283,0.0368231002893801,-6.899173858160368,11.48
BINANCE_SPOT,V1.5A_CURRENT,SL2.0_TP3.0,25,44.0,-3.3221076877366227,0.8772364213424415,-0.1328843075094649,-13.117740446850434,16.8
BINANCE_SPOT,V1.5A_CURRENT,SL2.0_TP2.0,25,52.0,-0.2346131015122932,0.9891185281980968,-0.009384524060491728,-7.6117919778011185,12.48
BINANCE_SPOT,V1.5A_CURRENT,SL2.5_TP3.0,25,52.0,-1.3392346343166577,0.9551342978265852,-0.053569385372666305,-11.561433896936945,19.48
BINANCE_SPOT,V1.5A_CURRENT,TIME24H,25,60.0,16.788249089489284,2.0022591416213293,0.6715299635795714,-6.941516553290716,24.0
BINANCE_SPOT,V1.5A_CURRENT,TIME48H,25,48.0,-2.8580990792679843,0.9035993931628178,-0.11432396317071937,-23.4172259466079,48.0
BINANCE_SPOT,V1.9B_ROBUST,SL1.5_TP3.0,28,46.42857142857143,7.625604743531216,1.3460039925816338,0.2723430265546863,-6.6843650023653005,12.785714285714286
BINANCE_SPOT,V1.9B_ROBUST,SL2.0_TP3.0,28,53.57142857142857,5.220256575425622,1.1904576275859071,0.18643773483662934,-8.848355252141149,20.214285714285715
BINANCE_SPOT,V1.9B_ROBUST,SL2.0_TP2.0,28,57.14285714285714,-0.8467988564138942,0.9661339159952118,-0.03024281630049622,-8.848355252141149,16.214285714285715
BINANCE_SPOT,V1.9B_ROBUST,SL2.5_TP3.0,28,53.57142857142857,-1.6319979674791718,0.9523661020687265,-0.05828564169568471,-10.980635379785653,24.0
BINANCE_SPOT,V1.9B_ROBUST,TIME24H,28,46.42857142857143,8.570626552856318,1.3616121838330888,0.3060938054591542,-8.591813274082972,24.0
BINANCE_SPOT,V1.9B_ROBUST,TIME48H,27,44.44444444444444,1.7993127323382005,1.052203725044198,0.06664121230882224,-17.574717823053764,48.0
BYBIT_PERPETUAL,V1.5A_CURRENT,SL1.5_TP3.0,24,33.33333333333333,-5.094630944065718,0.7486517577268517,-0.21227628933607157,-9.038252015764314,9.958333333333334
BYBIT_PERPETUAL,V1.5A_CURRENT,SL2.0_TP3.0,24,41.66666666666667,-5.911463656637525,0.760181968912797,-0.2463109856932302,-12.203491445102488,15.625
BYBIT_PERPETUAL,V1.5A_CURRENT,SL2.0_TP2.0,24,45.83333333333333,-7.556928406843414,0.6618743256754,-0.31487201695180894,-11.622181944395438,12.5
BYBIT_PERPETUAL,V1.5A_CURRENT,SL2.5_TP3.0,24,50.0,-5.780117528506957,0.7932084484641737,-0.24083823035445653,-14.036903424527292,19.333333333333332
BYBIT_PERPETUAL,V1.5A_CURRENT,TIME24H,24,50.0,12.669539922675288,1.7059821015822756,0.527897496778137,-7.033678427127976,24.0
BYBIT_PERPETUAL,V1.5A_CURRENT,TIME48H,24,58.333333333333336,27.69486607702096,2.2482097042865234,1.1539527532092066,-9.9634653216383,48.0
BYBIT_PERPETUAL,V1.9B_ROBUST,SL1.5_TP3.0,27,33.33333333333333,-3.570231026710144,0.8505753822210169,-0.13223077876704237,-8.118277568324261,13.62962962962963
BYBIT_PERPETUAL,V1.9B_ROBUST,SL2.0_TP3.0,27,44.44444444444444,-3.3373666701774596,0.8832218220624328,-0.12360617296953554,-9.238553726786169,27.444444444444443
BYBIT_PERPETUAL,V1.9B_ROBUST,SL2.0_TP2.0,27,59.25925925925925,5.949069475351315,1.3015457529509296,0.22033590649449317,-7.8003662401517015,22.703703703703702
BYBIT_PERPETUAL,V1.9B_ROBUST,SL2.5_TP3.0,27,55.55555555555556,3.230485683023387,1.1095436741992908,0.11964761788975507,-7.770748330982813,30.185185185185187
BYBIT_PERPETUAL,V1.9B_ROBUST,TIME24H,27,55.55555555555556,11.659330116291894,1.6926808432114069,0.43182704134414424,-6.659654108586432,24.0
BYBIT_PERPETUAL,V1.9B_ROBUST,TIME48H,27,44.44444444444444,31.957966187733202,2.356405858323427,1.183628377323452,-11.190231758391656,48.0
