year,trades,wins,win_rate,pnl,pf,expectancy,median_trade,dd,loss_streak,ending_equity
2020,2,1,50.0,0.48738867104171835,1.9621259765798005,0.24369433552085917,0.24369433552085917,-0.5065746928217263,1,100.48235350418446
2021,2,1,50.0,2.4496074270984174,1.9377724197273087,1.2248037135492087,1.2248037135492087,-2.6121555460233425,1,102.31738630486946
2022,1,0,0.0,-2.9565693489428173,0.0,-2.9565693489428173,-2.9565693489428173,-2.956569348942817,1,97.04343065105718
2023,5,2,40.0,-2.2438421251917795,0.292882152088462,-0.4487684250383559,-0.10510061087604745,-2.8351772958483012,2,97.75013477774888
2024,6,3,50.0,10.44506196293133,7.739361384572804,1.740843660488555,0.5403911802698045,-1.4873220762449346,2,110.64364496069547
2025,5,2,40.0,-1.7575243337695015,0.7541097864818763,-0.3515048667539003,-0.40071023411106044,-7.033678427127976,3,98.04479316505154
2026,3,3,100.0,6.245417669507919,inf,2.081805889835973,1.6092123039030959,0.0,0,106.35715354534265
