adx_band,trades,wins,losses,win_rate,pnl,expectancy,avg_win,avg_loss,profit_factor,max_drawdown,max_loss_streak,ending_equity
25-30,122,44,78,36.0655737704918,-1.4396949218151662,-0.011800778047665297,2.8154229408527076,-1.6066449271709529,0.9885116948427057,-23.145166825478302,9,94.7674011420315
30-35,31,10,21,32.25806451612903,0.10082277345172341,0.003252347530700755,2.8573543084807014,-1.3558438243502517,1.0035410305846861,-8.13441389975057,6,99.30796101268609
35-40,12,2,10,16.666666666666664,-9.29004835562858,-0.7741706963023817,2.3493960441312702,-1.3988840443891122,0.3358957525542789,-9.040300817731106,7,90.95969918226889
40+,2,0,2,0.0,-3.2314310061159137,-1.6157155030579569,0.0,-1.6157155030579569,0.0,-3.2079632390706214,2,96.79203676092938
