strategy,adx_min,adx_rising,di_filter,trades,wins,losses,win_rate,pnl,expectancy,avg_win,avg_loss,profit_factor,max_loss_streak,max_drawdown,ending_equity
V1.2C - ADX25 + Rising,25.0,True,False,67,22,45,32.83582089552239,-3.647350019292229,-0.05443805998943625,2.065614732744313,-1.090908314214825,0.9257020763387659,11,-15.81826510698222,95.57296707218616
V1.2D - ADX25 + Rising + DI,25.0,True,True,65,21,44,32.30769230769231,-3.8027252640042644,-0.058503465600065606,2.133590967786277,-1.1047303542617295,0.9217677201965976,11,-15.946274579678988,95.42763572287947
V1.0 - ADX20,20.0,False,False,497,144,353,28.973843058350102,-74.38276646456345,-0.14966351401320613,2.1093884042832287,-1.0712031067460295,0.8032902901601614,22,-60.836125891137094,44.59907662748728
V1.2A - ADX25,25.0,False,False,280,81,199,28.92857142857143,-46.281701845587605,-0.16529179230567,2.2146101167070222,-1.1339955844163638,0.7949098133588173,17,-48.671356703649636,60.48073952517922
V1.2B - ADX30,30.0,False,False,155,44,111,28.387096774193548,-34.24861544517943,-0.22095880932373826,2.3119125068188433,-1.2249798715784552,0.7481215061157473,11,-34.949546383133466,69.23956464670077
