year,trades,wins,win_rate,pnl,pf,expectancy,median_trade,dd,loss_streak,ending_equity
2017,1,1,100.0,0.7698598130841079,inf,0.7698598130841079,0.7698598130841079,0.0,0,100.76985981308411
2018,1,0,0.0,-3.946711860139989,0.0,-3.946711860139989,-3.946711860139989,-3.946711860139984,1,96.05328813986002
2019,3,2,66.66666666666666,0.6570427669771214,2.7169726415356434,0.21901425565904045,0.5124890296157315,-0.3826751522315819,1,100.65575567522197
2020,4,3,75.0,11.16199667061347,20.089747773067003,2.7904991676533677,3.2043155444474856,-0.584711584631914,1,111.50948379948142
2021,3,2,66.66666666666666,-2.045827760178491,0.2696696039516836,-0.6819425867261636,0.09104704097116101,-2.8012359491650485,1,97.93359941108662
2022,3,2,66.66666666666666,7.618068437545652,3.5731047819124284,2.5393561458485507,3.661203006014039,-2.9606522404748814,1,107.55063539463214
2023,5,3,60.0,-2.022970970671426,0.319526588747027,-0.40459419413428516,0.0071428790088083425,-2.616643460402157,1,97.96850451991337
2024,4,2,50.0,4.288967097711448,12.315866062344618,1.072241774427862,0.5570636382138455,-0.3595483305858904,1,104.31126169971986
2025,5,2,40.0,-1.6341642713732734,0.7682660280333049,-0.3268328542746547,-0.3570251560232712,-6.941516553290727,3,98.16842758769742
2026,3,3,100.0,6.231580219924724,inf,2.0771934066415745,1.6177220612757974,0.0,0,106.34305156743292
