variant,binance_trades,binance_pf,binance_exp,binance_pnl,binance_dd,bybit_trades,bybit_pf,bybit_exp,bybit_pnl,bybit_dd,binance_full_pf,binance_full_exp,min_pf_cross_market,min_exp_cross_market,min_trades_cross_market,both_markets_positive
V1.9B_FLIP2_ADX3,66,1.11356461072241,0.09424259743568512,6.220011430755219,-10.73810183486974,69,0.9036986988825363,-0.08505683429028116,-5.8689215660294,-20.40293212679356,1.1333596430531454,0.13120859402396134,0.9036986988825363,-0.08505683429028116,66,False
V1.9C_FLIP2_ADX_2OF3,75,1.0158587313424228,0.01356692693124072,1.017519519843054,-14.542488477955507,76,0.8525365966504869,-0.12922833802957398,-9.821353690247623,-23.141360035357383,1.0246365718008226,0.02426162331212654,0.8525365966504869,-0.12922833802957398,75,False
V1.5A_CURRENT,49,1.1993866357736467,0.15106974668220421,7.4024175874280065,-10.93348938917089,51,0.7835164892455107,-0.1905314574644447,-9.717104330686679,-23.28078938413235,1.5768912435892415,0.46104432259784084,0.7835164892455107,-0.1905314574644447,49,False
V1.9A_ADX3_SLOPE,31,1.385835531341342,0.2673407589396683,8.287563527129718,-6.815525493708307,37,0.7173275343690311,-0.2567176818588136,-9.498554228776102,-17.789633626245617,1.2877033608806119,0.25056355563961286,0.7173275343690311,-0.2567176818588136,31,False
