binance_signal_time,bybit_signal_time,delta_hours,binance_ret_24h_pct,bybit_ret_24h_pct,same_return_sign,abs_return_diff_pct
2020-07-10 23:00:00,2020-07-10 23:00:00,0.0,-0.5847115846319094,-0.5065746928217288,True,0.07813689181018058
2021-01-03 05:00:00,2021-01-03 05:00:00,0.0,-2.8012359491650476,-2.6121555460233408,True,0.18908040314170682
2022-06-07 19:00:00,2022-06-07 19:00:00,0.0,-2.960652240474878,-2.9565693489428173,True,0.00408289153206054
2023-01-25 21:00:00,2023-01-25 21:00:00,0.0,-2.1650469470036353,-2.2673384706579727,True,0.10229152365433736
2023-02-17 19:00:00,2023-02-17 19:00:00,0.0,0.34190313437710035,0.32698925257269895,True,0.014913881804401397
2023-08-14 03:00:00,2023-08-14 04:00:00,1.0,0.0071428790088083425,-0.10510061087604745,False,0.1122434898848558
2023-09-15 22:00:00,2023-09-15 22:00:00,0.0,-0.8078406592093362,-0.8007832205460844,True,0.007057438663251814
2023-11-07 18:00:00,2023-11-07 18:00:00,0.0,0.600870622155637,0.6023909243156258,True,0.0015203021599887734
2024-01-04 20:00:00,2024-01-04 21:00:00,1.0,-0.3595483305858876,-1.120883570271736,True,0.7613352396858484
2024-05-15 12:00:00,2024-05-15 12:00:00,0.0,3.5343881518696447,3.5195387833433527,True,0.01484936852629204
2024-05-17 14:00:00,2024-05-17 14:00:00,0.0,-0.019474103409127804,-0.05838332093311518,True,0.03890921752398738
2024-09-17 10:00:00,2024-09-17 10:00:00,0.0,1.1336013798368187,1.1391656814727242,True,0.005564301635905489
2025-01-20 06:00:00,2025-01-20 06:00:00,0.0,-4.936921742321259,-5.003407948656676,True,0.06648620633541746
2025-03-25 19:00:00,2025-03-25 19:00:00,0.0,-1.75795083380212,-1.7434795545450588,True,0.014471279257061154
2025-05-18 22:00:00,2025-05-18 22:00:00,0.0,-0.3570251560232712,-0.40071023411106044,True,0.043685078087789264
2025-08-10 03:00:00,2025-08-10 03:00:00,0.0,2.7248860759493714,2.717976114218294,True,0.006909961731077274
2025-09-30 19:00:00,2025-09-30 19:00:00,0.0,2.692847384824005,2.672097289325,True,0.020750095499005194
2026-04-13 14:00:00,2026-04-13 14:00:00,0.0,3.6097577145903728,3.6293822669195217,True,0.019624552329148948
2026-05-05 02:00:00,2026-05-05 02:00:00,0.0,1.0041004440585537,1.0068230986853017,True,0.0027226546267480334
2026-06-14 21:00:00,2026-06-14 21:00:00,0.0,1.6177220612757974,1.6092123039030959,True,0.008509757372701543
