entry_time,exit_time,entry_price,exit_price,pnl_pct,year
2020-04-01 23:00:00,2020-04-02 22:00:00,6518.0,6844.7,5.012273703590055,2020
2021-01-03 06:00:00,2021-01-04 05:00:00,33795.0,32921.6,-2.5844059772155688,2021
2021-02-11 14:00:00,2021-02-12 13:00:00,47638.5,47929.5,0.610850467583992,2021
2021-12-26 22:00:00,2021-12-27 21:00:00,50787.0,50966.4,0.3532400023628123,2021
2022-06-07 20:00:00,2022-06-08 19:00:00,31065.0,30141.0,-2.9744084983099954,2022
2022-08-10 13:00:00,2022-08-11 12:00:00,23983.2,24857.4,3.645051536075256,2022
2023-01-25 22:00:00,2023-01-26 21:00:00,23599.9,23083.3,-2.1889923262386795,2023
2023-02-17 20:00:00,2023-02-18 19:00:00,24526.5,24601.9,0.307422583735965,2023
2023-03-26 14:00:00,2023-03-27 13:00:00,28154.1,27697.0,-1.6235645962754932,2023
2023-08-14 05:00:00,2023-08-15 04:00:00,29412.9,29383.6,-0.09961615481643399,2023
2023-09-15 23:00:00,2023-09-16 22:00:00,26776.9,26557.8,-0.8182425896948571,2023
2023-10-29 13:00:00,2023-10-30 12:00:00,34430.0,34587.5,0.45744989834446703,2023
2024-01-04 22:00:00,2024-01-05 21:00:00,44434.6,43953.5,-1.082714821332922,2024
2024-02-26 16:00:00,2024-02-27 15:00:00,52849.1,56757.8,7.3959632235932204,2024
2024-05-15 13:00:00,2024-05-16 12:00:00,63747.3,66002.4,3.5375615908438336,2024
2024-05-17 15:00:00,2024-05-18 14:00:00,66826.8,66792.4,-0.05147635379818984,2024
2024-09-17 11:00:00,2024-09-18 10:00:00,59235.9,59909.7,1.1374858827163858,2024
2024-12-01 22:00:00,2024-12-02 21:00:00,97805.4,95425.7,-2.433096741079733,2024
2025-01-20 07:00:00,2025-01-21 06:00:00,107586.3,102176.6,-5.028242443508138,2025
2025-03-25 20:00:00,2025-03-26 19:00:00,88116.1,86550.6,-1.7766333280751188,2025
2025-05-18 23:00:00,2025-05-19 22:00:00,105913.6,105518.0,-0.37351199468246365,2025
2025-08-10 04:00:00,2025-08-11 03:00:00,118518.6,121706.0,2.6893669010602506,2025
2025-09-30 20:00:00,2025-10-01 19:00:00,114302.9,117382.4,2.694157366086075,2025
2026-04-13 15:00:00,2026-04-14 14:00:00,72347.0,74970.0,3.6255822632590156,2026
2026-05-05 03:00:00,2026-05-06 02:00:00,80526.8,81327.9,0.9948240834107294,2026
2026-06-14 22:00:00,2026-06-15 21:00:00,65276.9,66341.1,1.6302857519275644,2026
