market,variant,signal_time,entry_time,entry_price,atr,adx,up_1_0atr_hour,down_1_0atr_hour,up_1_5atr_hour,down_1_5atr_hour,up_2_0atr_hour,down_2_0atr_hour,up_2_5atr_hour,down_2_5atr_hour,up_3_0atr_hour,down_3_0atr_hour,time_24h_ret_pct,time_48h_ret_pct
BINANCE_SPOT,V1.5A_CURRENT,2020-04-01 22:00:00,2020-04-01 23:00:00,6520.76,81.66789236939931,30.160503356512322,1.0,,1.0,,2.0,,2.0,,16.0,,4.937307921162561,3.7402081965905727
BINANCE_SPOT,V1.5A_CURRENT,2020-07-10 23:00:00,2020-07-11 00:00:00,9288.34,39.50858726975738,25.703743315875762,38.0,10.0,,10.0,,10.0,,10.0,,44.0,-0.5847115846319094,0.15514074635510602
BINANCE_SPOT,V1.5A_CURRENT,2021-01-03 05:00:00,2021-01-03 06:00:00,33758.67,701.3915907702363,25.910280792283277,2.0,10.0,71.0,11.0,71.0,13.0,71.0,26.0,,26.0,-2.8012359491650476,-9.841679189375643
BINANCE_SPOT,V1.5A_CURRENT,2021-02-11 13:00:00,2021-02-11 14:00:00,47555.46,779.4762622574442,28.649099462238816,7.0,8.0,11.0,25.0,65.0,,71.0,,,,0.6643611480153958,-1.2281029349731847
BINANCE_SPOT,V1.5A_CURRENT,2021-12-26 22:00:00,2021-12-26 23:00:00,50973.65,369.6721910198896,25.920424471268305,15.0,2.0,16.0,26.0,19.0,26.0,19.0,26.0,19.0,27.0,0.09104704097116101,-6.459886627698828
BINANCE_SPOT,V1.5A_CURRENT,2022-06-07 19:00:00,2022-06-07 20:00:00,31059.71,338.01276261785995,35.279589055306175,1.0,3.0,1.0,3.0,,3.0,,8.0,,8.0,-2.960652240474878,-3.35672805702307
BINANCE_SPOT,V1.5A_CURRENT,2022-07-19 14:00:00,2022-07-19 15:00:00,22626.18,355.0064748204097,25.253879049109283,1.0,,1.0,,2.0,,3.0,,5.0,,6.9175176720064915,-0.30044841860181243
BINANCE_SPOT,V1.5A_CURRENT,2022-08-10 12:00:00,2022-08-10 13:00:00,23983.92,214.24922232812884,35.70793509402798,9.0,6.0,13.0,6.0,13.0,6.0,16.0,,17.0,,3.661203006014039,-0.8392289500632042
BINANCE_SPOT,V1.5A_CURRENT,2023-01-25 21:00:00,2023-01-25 22:00:00,23592.56,213.07762679773813,30.304476457055554,1.0,1.0,,1.0,,1.0,,1.0,,1.0,-2.1650469470036353,-2.168819322701734
BINANCE_SPOT,V1.5A_CURRENT,2023-02-17 19:00:00,2023-02-17 20:00:00,24524.49,272.47382033302165,27.982417997209488,1.0,3.0,1.0,3.0,45.0,54.0,,54.0,,,0.34190313437710035,-0.0028542897324296147
BINANCE_SPOT,V1.5A_CURRENT,2023-08-14 03:00:00,2023-08-14 04:00:00,29399.91,62.53496065844164,29.318751189422777,3.0,10.0,5.0,15.0,11.0,15.0,11.0,40.0,11.0,40.0,0.0071428790088083425,-0.5829949819574327
BINANCE_SPOT,V1.5A_CURRENT,2023-09-15 22:00:00,2023-09-15 23:00:00,26776.32,130.44545704563362,25.84733384520369,59.0,1.0,60.0,2.0,60.0,7.0,60.0,12.0,60.0,50.0,-0.8078406592093362,-1.0618710860939744
BINANCE_SPOT,V1.5A_CURRENT,2023-11-07 18:00:00,2023-11-07 19:00:00,35377.0,206.89924879648697,26.40347536804385,2.0,12.0,2.0,,2.0,,27.0,,29.0,,0.600870622155637,2.802809735138658
BINANCE_SPOT,V1.5A_CURRENT,2024-01-04 20:00:00,2024-01-04 21:00:00,44113.68,450.10199400884164,28.244097584266928,1.0,5.0,,5.0,,5.0,,5.0,,5.0,-0.3595483305858876,-0.6511358834719705
BINANCE_SPOT,V1.5A_CURRENT,2024-05-15 12:00:00,2024-05-15 13:00:00,63757.57,507.09299316937194,33.17952091369305,1.0,,1.0,,3.0,,3.0,,6.0,,3.5343881518696447,4.113080219337094
BINANCE_SPOT,V1.5A_CURRENT,2024-05-17 14:00:00,2024-05-17 15:00:00,66806.67,465.8196223046446,39.907090327546825,1.0,4.0,44.0,53.0,,53.0,,,,,-0.019474103409127804,0.18161360235437832
BINANCE_SPOT,V1.5A_CURRENT,2024-09-17 10:00:00,2024-09-17 11:00:00,59235.99,368.5745786534294,28.20646024489453,4.0,,4.0,,4.0,,4.0,,4.0,,1.1336013798368187,5.206328112351974
BINANCE_SPOT,V1.5A_CURRENT,2025-01-20 06:00:00,2025-01-20 07:00:00,107482.36,1726.7340435731248,26.421979347887806,1.0,6.0,,9.0,,10.0,,11.0,,11.0,-4.936921742321259,-1.9561814608462291
BINANCE_SPOT,V1.5A_CURRENT,2025-03-25 19:00:00,2025-03-25 20:00:00,88116.23,526.3892758283655,27.990323369128777,,3.0,,3.0,,8.0,,18.0,,19.0,-1.75795083380212,-1.1982128604457913
BINANCE_SPOT,V1.5A_CURRENT,2025-05-18 22:00:00,2025-05-18 23:00:00,105928.11,675.0754621190683,26.322727910898106,1.0,2.0,2.0,3.0,46.0,4.0,54.0,5.0,56.0,5.0,-0.3570251560232712,0.8002786040457072
BINANCE_SPOT,V1.5A_CURRENT,2025-08-10 03:00:00,2025-08-10 04:00:00,118500.0,410.8235062567909,25.547284239344258,12.0,2.0,20.0,3.0,21.0,4.0,22.0,4.0,22.0,,2.7248860759493714,0.3018565400843857
