removed_year,trades,wr,pnl,pf,exp,median,dd,asset
2022,19,52.63157894736842,9.839113173477967,1.7442214515552685,0.5178480617619983,0.17698925257269896,-7.46174845680595,BTC
2023,15,53.333333333333336,9.72638594972693,1.7656144319047373,0.6484257299817954,0.8568230986853017,-7.461748456805939,BTC
2024,14,50.0,-2.8125181383961784,0.80369639840417,-0.20089415274258418,-0.03905567915167425,-13.012214029323399,BTC
2025,15,53.333333333333336,9.240068158304654,2.05846937100685,0.6160045438869769,0.17698925257269896,-7.675826515985884,BTC
2026,17,41.17647058823529,0.9371261550272321,1.0573964525519572,0.055125067942778355,-0.25510061087604746,-7.675826515985884,BTC
2021,13,53.84615384615385,10.198751780093806,1.5524254959741708,0.7845193676995236,1.0658738799095564,-8.322029429410483,ETH
2022,11,54.54545454545454,14.511299385369119,2.431131399935416,1.3192090350335564,1.0658738799095564,-7.348316115349752,ETH
2023,9,66.66666666666666,18.144379510670106,2.154209818848399,2.016042167852234,4.918691546211666,-8.32202942941047,ETH
2024,12,58.333333333333336,20.023433981041535,2.6824325982921122,1.668619498420128,1.0924241297387263,-8.32202942941047,ETH
2025,13,61.53846153846154,18.42548698523236,2.0454820574731367,1.4173451527101817,1.1189743795678964,-8.32202942941047,ETH
2026,12,50.0,6.634814672522799,1.3593813110854434,0.5529012227102332,0.1808672292155562,-8.32202942941047,ETH
2021,12,41.66666666666667,3.6983885727176724,1.2501804213725092,0.3081990477264727,-0.6119414942471206,-13.190399551810694,SOL
2022,9,44.44444444444444,6.275005262745067,1.5749879811394878,0.697222806971674,-0.37925988584439285,-10.482511780725234,SOL
2023,10,60.0,13.859624874146238,2.5228693207380264,1.385962487414624,1.2007854042425583,-8.032992976028009,SOL
2025,10,50.0,8.993167143493269,1.9415453591850518,0.8993167143493268,-0.1512957377872829,-8.46323207109414,SOL
2026,11,36.36363636363637,-0.11525229431399264,0.9922036673570956,-0.010477481301272058,-0.8446231026498483,-13.190399551810717,SOL
