entry_time,exit_time,entry_price,exit_price,bars_held,pnl_pct,year
2020-07-11 00:00:00,2020-07-11 23:00:00,9278.0,9231.0,24,-0.5065746928217288,2020
2020-07-24 21:00:00,2020-07-25 20:00:00,9608.0,9703.5,24,0.9939633638634472,2020
2021-01-03 06:00:00,2021-01-04 05:00:00,33803.5,32920.5,24,-2.6121555460233408,2021
2021-03-08 21:00:00,2021-03-09 20:00:00,51770.5,54391.0,24,5.061762973121758,2021
2022-06-07 20:00:00,2022-06-08 19:00:00,31049.5,30131.5,24,-2.9565693489428173,2022
2023-01-25 22:00:00,2023-01-26 21:00:00,23618.0,23082.5,24,-2.2673384706579727,2023
2023-02-17 20:00:00,2023-02-18 19:00:00,24526.8,24607.0,24,0.32698925257269895,2023
2023-08-14 05:00:00,2023-08-15 04:00:00,29400.4,29369.5,24,-0.10510061087604745,2023
2023-09-15 23:00:00,2023-09-16 22:00:00,26761.3,26547.0,24,-0.8007832205460844,2023
2023-11-07 19:00:00,2023-11-08 18:00:00,35408.9,35622.2,24,0.6023909243156258,2023
2024-01-04 22:00:00,2024-01-05 21:00:00,44456.0,43957.7,24,-1.120883570271736,2024
2024-02-01 20:00:00,2024-02-02 19:00:00,43201.1,43041.0,24,-0.370592415470899,2024
2024-02-26 16:00:00,2024-02-27 15:00:00,52899.2,56780.0,24,7.336216804791004,2024
2024-05-15 13:00:00,2024-05-16 12:00:00,63727.1,65970.0,24,3.5195387833433527,2024
2024-05-17 15:00:00,2024-05-18 14:00:00,66799.9,66760.9,24,-0.05838332093311518,2024
2024-09-17 11:00:00,2024-09-18 10:00:00,59210.0,59884.5,24,1.1391656814727242,2024
2025-01-20 07:00:00,2025-01-21 06:00:00,107542.7,102161.9,24,-5.003407948656676,2025
2025-03-25 20:00:00,2025-03-26 19:00:00,88053.8,86518.6,24,-1.7434795545450588,2025
2025-05-18 23:00:00,2025-05-19 22:00:00,105936.9,105512.4,24,-0.40071023411106044,2025
2025-08-10 04:00:00,2025-08-11 03:00:00,118488.9,121709.4,24,2.717976114218294,2025
2025-09-30 20:00:00,2025-10-01 19:00:00,114314.7,117369.3,24,2.672097289325,2025
2026-04-13 15:00:00,2026-04-14 14:00:00,72348.4,74974.2,24,3.6293822669195217,2026
2026-05-05 03:00:00,2026-05-06 02:00:00,80520.6,81331.3,24,1.0068230986853017,2026
2026-06-14 22:00:00,2026-06-15 21:00:00,65286.6,66337.2,24,1.6092123039030959,2026
