year,trades,wins,win_rate,pnl,pf,expectancy,median_trade,dd,loss_streak,ending_equity
2020,2,1,50.0,4.3525963365306515,8.444005644715796,2.1762981682653257,2.1762981682653257,-0.5847115846319251,1,104.32372732514665
2021,3,2,66.66666666666666,-2.045827760178491,0.2696696039516836,-0.6819425867261636,0.09104704097116101,-2.8012359491650485,1,97.93359941108662
2022,3,2,66.66666666666666,7.618068437545652,3.5731047819124284,2.5393561458485507,3.661203006014039,-2.9606522404748814,1,107.55063539463214
2023,5,3,60.0,-2.022970970671426,0.319526588747027,-0.40459419413428516,0.0071428790088083425,-2.616643460402157,1,97.96850451991337
2024,4,2,50.0,4.288967097711448,12.315866062344618,1.072241774427862,0.5570636382138455,-0.3595483305858904,1,104.31126169971986
2025,5,2,40.0,-1.6341642713732734,0.7682660280333049,-0.3268328542746547,-0.3570251560232712,-6.941516553290727,3,98.16842758769742
2026,3,3,100.0,6.231580219924724,inf,2.0771934066415745,1.6177220612757974,0.0,0,106.34305156743292
