sample,n,exp_ci_low,exp_ci_high,prob_exp_positive,prob_pf_gt_1,median_pf,prob_terminal_gt_100,terminal_ci_low,terminal_ci_high
BINANCE SAME GROSS,25,-0.3349504361155943,1.6917580609383682,90.185,90.185,2.021116675951824,89.28,91.23210194991174,150.72027673285035
BYBIT SAME GROSS,24,-0.5163508815556068,1.6060918092315835,83.21,83.21,1.707490108591128,81.76,87.70575331317528,145.20313297876595
BINANCE SAME COST,25,-0.48495043611559413,1.5417580609383679,84.315,84.315,1.7110820927325212,82.77,87.85875480381267,145.25654704230396
BYBIT SAME COST,24,-0.6663508815556067,1.456091809231583,75.14,75.14,1.453583532414335,73.22,84.5845870677738,140.14093433024206
