asset,year,trades,wr,pnl,pf,exp,median,dd
BTC,2022,1,0.0,-3.106569348942817,0.0,-3.106569348942817,-3.106569348942817,-3.1065693489428226
BTC,2023,5,40.0,-2.99384212519178,0.17370730372436582,-0.598768425038356,-0.25510061087604746,-3.4210728655263423
BTC,2024,6,50.0,9.545061962931332,5.77286673670936,1.5908436604885552,0.3903911802698045,-1.7848598622663303
BTC,2025,5,40.0,-2.507524333769502,0.6699582656956524,-0.5015048667539004,-0.5507102341110605,-7.461748456805939
BTC,2026,3,100.0,5.79541766950792,inf,1.9318058898359733,1.459212303903096,0.0
ETH,2021,1,100.0,7.388881482892138,inf,7.388881482892138,7.388881482892138,0.0
ETH,2022,3,66.66666666666666,3.0763338776168254,1.3696614994829155,1.0254446258722751,5.506909275465701,-8.322029429410483
ETH,2023,5,40.0,-0.556746247684161,0.796926114992635,-0.1113492495368322,-0.704139421478444,-1.8898350673861697
ETH,2024,2,50.0,-2.4358007180555887,0.6287053928646738,-1.2179003590277944,-1.2179003590277944,-6.560291130670281
ETH,2025,1,0.0,-0.8378537222464163,0.0,-0.8378537222464163,-0.8378537222464163,-0.8378537222464177
ETH,2026,2,100.0,10.952818590463146,inf,5.476409295231573,5.476409295231573,0.0
SOL,2021,1,100.0,4.479344816979391,inf,4.479344816979391,4.479344816979391,0.0
SOL,2022,4,50.0,1.9027281269519967,1.4917112083280906,0.47568203173799917,-0.3839773461900106,-3.024981849862063
SOL,2023,3,0.0,-5.681891484449175,0.0,-1.893963828149725,-1.3786547271969862,-5.607887809634137
SOL,2025,3,33.33333333333333,-0.8154337537962055,0.844126729382939,-0.27181125126540184,-2.2610944752208573,-5.164228088529443
SOL,2026,2,100.0,8.292985684011056,inf,4.146492842005528,4.146492842005528,0.0
