asset,scenario,trades,wr,pnl,pf,exp,median,dd
BTC,FULL_GROSS,24,50.0,12.669539922675288,1.7059821015822756,0.527897496778137,0.1343029658197919,-7.033678427127976
ETH,FULL_GROSS,16,56.25,17.569061580058044,1.8292424390002033,1.0980663487536277,1.2424241297387262,-8.172029429410465
SOL,FULL_GROSS,13,46.15384615384615,10.127733389697065,1.7374803528791247,0.779056414592082,-0.22925988584439283,-12.387340554250992
XRP,FULL_GROSS,13,38.46153846153847,-0.07028227904476836,0.9984713938650688,-0.0054063291572898735,-1.5006205573733475,-21.769418731595557
BNB,FULL_GROSS,12,50.0,-10.132420384803657,0.44985442347471516,-0.8443683654003048,0.17634603421569406,-12.961303818832148
BTC,FULL_COST,24,50.0,9.069539922675288,1.4593107261511666,0.377897496778137,-0.01569703418020811,-7.675826515985895
ETH,FULL_COST,16,56.25,15.16906158005804,1.682157763054137,0.9480663487536275,1.0924241297387263,-8.32202942941047
SOL,FULL_COST,13,46.15384615384615,8.177733389697064,1.5531892458241787,0.6290564145920818,-0.37925988584439285,-13.190399551810717
XRP,FULL_COST,13,38.46153846153847,-2.020282279044773,0.9571774652203507,-0.15540632915729022,-1.6506205573733475,-22.151111144644176
BNB,FULL_COST,12,50.0,-11.932420384803658,0.3823066064240373,-0.9943683654003048,0.026346034215694036,-14.276776185737106
BTC,COMMON_GROSS,20,50.0,9.732543824535153,1.6563958037481092,0.4866271912267576,0.1343029658197919,-7.033678427127987
ETH,COMMON_GROSS,14,57.14285714285714,19.687633262985948,2.1210507038886397,1.4062595187847104,1.2424241297387262,-8.172029429410465
SOL,COMMON_GROSS,13,46.15384615384615,10.127733389697065,1.7374803528791247,0.779056414592082,-0.22925988584439283,-12.387340554250992
XRP,COMMON_GROSS,12,41.66666666666667,0.07745245503270937,1.001689984241795,0.006454371252725781,-2.907189906721805,-21.769418731595547
BNB,COMMON_GROSS,12,50.0,-10.132420384803657,0.44985442347471516,-0.8443683654003048,0.17634603421569406,-12.961303818832148
BTC,COMMON_COST,20,50.0,6.732543824535151,1.412350173032654,0.33662719122675755,-0.01569703418020811,-7.675826515985884
ETH,COMMON_COST,14,57.14285714285714,17.587633262985946,1.9526515830378872,1.2562595187847105,1.0924241297387263,-8.32202942941047
SOL,COMMON_COST,13,46.15384615384615,8.177733389697064,1.5531892458241787,0.6290564145920818,-0.37925988584439285,-13.190399551810717
XRP,COMMON_COST,12,41.66666666666667,-1.722547544967286,0.9632564597049345,-0.14354562874727383,-3.0571899067218054,-22.151111144644176
BNB,COMMON_COST,12,50.0,-11.932420384803658,0.3823066064240373,-0.9943683654003048,0.026346034215694036,-14.276776185737106
