strategy,trades,wins,losses,win_rate,pnl,expectancy,avg_win,avg_loss,profit_factor,max_drawdown,max_loss_streak,ending_equity
V1.5C - REGIME + ATR 1.00-1.20,22,11,11,50.0,27.041734456925212,1.2291697480420551,3.9930145822065395,-1.5346750861224294,2.601863168506532,-8.36141253167092,4,129.1270860779534
V1.5B - REGIME + ATR 0.80-1.20,37,17,20,45.94594594594595,29.762457057032385,0.8043907312711456,3.34483664553397,-1.3549882958522548,2.0982551343114197,-10.05760370623624,5,132.3822952715851
V1.5A - REGIME DIRECTION,65,29,36,44.61538461538462,29.967880968859653,0.46104432259784084,2.8246577349063937,-1.4429775928729378,1.5768912435892415,-12.393351539127718,8,131.91838517567845
V1.2C BASELINE - ADX25 + Rising,167,56,111,33.532934131736525,-13.86035151010793,-0.0829961168269936,2.8062668673319413,-1.5406423070333028,0.9189506668403501,-29.542159699811766,11,82.85747224432393
