market,variant,side,events,win_6h_pct,mean_ret_6h_pct,median_ret_6h_pct,win_12h_pct,mean_ret_12h_pct,median_ret_12h_pct,win_24h_pct,mean_ret_24h_pct,median_ret_24h_pct,win_48h_pct,mean_ret_48h_pct,median_ret_48h_pct,win_72h_pct,mean_ret_72h_pct,median_ret_72h_pct,median_mfe_72h_atr,mean_mfe_72h_atr,median_mae_72h_atr,mean_mae_72h_atr,mfe_ge_1_0atr_pct,mfe_ge_1_5atr_pct,mfe_ge_2_0atr_pct,mfe_ge_3_0atr_pct,mae_ge_1_0atr_pct,mae_ge_1_5atr_pct,mae_ge_2_0atr_pct
BINANCE_SPOT,V1.5A_CURRENT,ALL,49,53.06122448979592,0.058357717782913626,0.04431993386118972,53.06122448979592,0.05482981155064395,0.027486423329732973,51.02040816326531,0.10768390070517389,0.0071428790088083425,40.816326530612244,-0.5906067024001778,-0.8392289500632042,51.02040816326531,-0.2806781965222479,0.014349290288186671,4.362302881868132,5.381273156431648,3.9783994381834544,5.345065144153888,87.75510204081633,79.59183673469387,71.42857142857143,63.26530612244898,87.75510204081633,79.59183673469387,73.46938775510205
BINANCE_SPOT,V1.5A_CURRENT,BUY,25,60.0,0.23648478611914686,0.12473305434921655,56.00000000000001,0.093655056950869,0.15143697478110832,60.0,0.6715299635795714,0.34190313437710035,48.0,-0.11432396317071937,-0.0028542897324296147,64.0,0.7253175617901283,0.8287004219409237,4.471661949955858,5.343057138175466,2.516068297596146,4.062074979896652,96.0,80.0,72.0,60.0,84.0,76.0,68.0
BINANCE_SPOT,V1.5A_CURRENT,SELL,24,45.83333333333333,-0.12719131173399598,-0.2218047516318894,50.0,0.014386847592076276,-0.04932087265111922,41.66666666666667,-0.47965574812232353,-0.48972735826886266,33.33333333333333,-1.0867345557641965,-2.3940049993939043,37.5,-1.3285904447643067,-1.9038245005001788,4.051214317334246,5.42108150878184,4.372528290134317,6.681513231921843,79.16666666666666,79.16666666666666,70.83333333333334,66.66666666666666,91.66666666666666,83.33333333333334,79.16666666666666
BINANCE_SPOT,V1.9B_ROBUST,ALL,66,40.909090909090914,-0.08171599034500485,-0.24074768075522596,48.484848484848484,-0.06913324646660018,-0.07055134376492755,45.45454545454545,-0.05695303632583089,-0.30026470645819203,39.39393939393939,-0.32384429815649507,-0.3144232827095061,51.515151515151516,-0.009871972607199214,0.16331167936960345,3.8442960756978293,5.101354188943831,3.0589552894880025,4.529153928212373,86.36363636363636,75.75757575757575,65.15151515151516,56.060606060606055,86.36363636363636,77.27272727272727,69.6969696969697
BINANCE_SPOT,V1.9B_ROBUST,BUY,28,50.0,0.2540437551388631,-0.00033566118299222306,53.57142857142857,0.2190846207022718,0.02689007322775762,46.42857142857143,0.3060938054591542,-0.14869870953407882,42.857142857142854,0.053530868347728126,-0.37711774222144223,64.28571428571429,1.0790701925473916,0.7056352194374367,4.560520969484346,5.266892438308932,2.5182911742414964,3.8289296093337706,89.28571428571429,78.57142857142857,75.0,60.71428571428571,82.14285714285714,71.42857142857143,60.71428571428571
BINANCE_SPOT,V1.9B_ROBUST,SELL,38,34.21052631578947,-0.3291179080699602,-0.3569914648038415,44.73684210526316,-0.281504306485769,-0.2058593775437555,44.73684210526316,-0.3244612355358199,-0.47019503223065234,36.84210526315789,-0.6019102103175017,-0.28764764626202255,42.10526315789473,-0.8122504100895295,-0.8790309399760265,3.3579365778108294,4.979378636780075,4.059426485561854,5.045108689491341,84.21052631578947,73.68421052631578,57.89473684210527,52.63157894736842,89.47368421052632,81.57894736842105,76.31578947368422
BYBIT_PERPETUAL,V1.5A_CURRENT,ALL,51,45.09803921568628,-0.14269893303812353,-0.18752811444784878,50.98039215686274,0.02006391431130934,0.0061473265669104975,50.98039215686274,0.11503543507244267,0.16597510373443983,50.98039215686274,0.5649361055175105,0.13907206447915155,49.01960784313725,1.1686588150677286,-0.3619548516723792,4.724196231998663,7.131129342650909,3.7466388339621894,4.848915561997213,84.31372549019608,76.47058823529412,66.66666666666666,60.78431372549019,86.27450980392157,78.43137254901961,70.58823529411765
BYBIT_PERPETUAL,V1.5A_CURRENT,BUY,24,54.166666666666664,0.34238610880395653,0.0795761409235409,50.0,0.17946564605768442,0.005128573471726027,50.0,0.527897496778137,0.1343029658197919,58.333333333333336,1.1539527532092066,0.24175521819189447,58.333333333333336,2.192519509058316,0.6000937973961629,4.5117779609051585,8.041777101201033,2.623864639444638,3.796629278873821,87.5,79.16666666666666,66.66666666666666,62.5,83.33333333333334,79.16666666666666,66.66666666666666
BYBIT_PERPETUAL,V1.5A_CURRENT,SELL,27,37.03703703703704,-0.5738856368977502,-0.3460421654743745,51.85185185185185,-0.12162651390769073,0.0061473265669104975,51.85185185185185,-0.25195306422150787,0.16597510373443983,44.44444444444444,0.041365752013780205,-1.8700053639777077,40.74074074074074,0.258560420409428,-0.52780072304408,5.309798887291912,6.321664668384134,4.311521341154445,5.784281146995784,81.48148148148148,74.07407407407408,66.66666666666666,59.25925925925925,88.88888888888889,77.77777777777779,74.07407407407408
BYBIT_PERPETUAL,V1.9B_ROBUST,ALL,69,40.57971014492754,-0.00756786471612989,-0.24672591653330436,52.17391304347826,0.08285614997304899,0.043833214618377074,50.72463768115942,0.050704126028593095,0.045066343568075026,40.57971014492754,0.3353943924244592,-0.2794399166569618,53.62318840579711,0.7411752103948104,0.3424657534246575,4.120515461449595,6.084290699114144,2.9915336402052373,4.4637772069296435,86.95652173913044,75.36231884057972,71.01449275362319,59.42028985507246,86.95652173913044,79.71014492753623,68.11594202898551
