year,side,trades,wins,losses,win_rate,pnl,expectancy,avg_win,avg_loss,profit_factor,max_drawdown,max_loss_streak,ending_equity
2017,BUY,2,1,1,50.0,3.487050544636327,1.7435252723181636,5.656677133516139,-2.1696265888798116,2.6072123021117233,-2.1696265888798028,1,103.36432177350048
2018,BUY,9,1,8,11.11111111111111,-5.5532477314160085,-0.6170275257128899,7.4303066807519444,-1.6229443015209941,0.5722860200584514,-9.663975406425473,7,94.22621243666165
2019,BUY,11,5,6,45.45454545454545,3.6307771251126746,0.3300706477375159,1.9733119813303255,-1.0392971302564922,1.5822488133906134,-3.5243081736167747,3,103.55057924337191
2020,BUY,7,6,1,85.71428571428571,19.31424637871976,2.7591780541028226,3.3253802670836325,-0.6380352237820365,31.2714421693399,-0.6380352237820408,1,120.78764749703544
2021,BUY,7,2,5,28.57142857142857,-4.80092416753053,-0.6858463096472186,2.8094307904973954,-2.083957149705064,0.5392492433723995,-6.905085761195185,3,95.12034900281336
2022,BUY,6,1,5,16.666666666666664,-2.0685364361353313,-0.34475607268922187,4.707022681076649,-1.3551118234423962,0.6947061636757592,-3.4226143205228987,3,97.7970869183771
2023,BUY,8,3,5,37.5,-0.8686798336305794,-0.10858497920382243,1.2924868863870878,-0.9492280985583686,0.8169713191276408,-4.054053771666455,3,99.07896365719218
2024,BUY,6,2,4,33.33333333333333,0.2527880536302234,0.0421313422717039,2.1263392070136984,-0.9999725900992935,1.0631987456788996,-1.5304844007873686,2,100.18373673692625
2025,BUY,8,1,7,12.5,-6.22097980409928,-0.77762247551241,1.344046314011935,-1.0807180168730308,0.1776657863472793,-6.091055371806764,4,93.90894462819324
2026,BUY,5,3,2,60.0,3.2340174402540747,0.6468034880508149,1.5045776060418063,-0.6398576889356725,3.5271380622412143,-0.8408566223208847,1,103.24578406919416
2017,SELL,7,0,7,0.0,-23.083167408492802,-3.2975953440704004,0.0,-3.2975953440704004,0.0,-21.05085404873427,7,78.94914595126573
2018,SELL,10,5,5,50.0,14.959567288994275,1.4959567288994275,5.122644639980317,-2.1307311821814614,2.404172184093025,-8.823111630873392,3,114.91982530742327
2019,SELL,11,4,7,36.36363636363637,0.12339571631731527,0.011217792392483206,2.4231030609479447,-1.3670023610677802,1.0128953394492552,-4.391217510174384,3,99.92022201443157
2020,SELL,16,3,13,18.75,-11.876267130289879,-0.7422666956431174,2.447864140188029,-1.4784507346810745,0.3820835631568285,-13.612599982159434,7,88.57272088566889
2021,SELL,9,4,5,44.44444444444444,-0.997065983990403,-0.110785109332267,2.880156735774762,-2.503538585417891,0.9203474642014374,-10.39276768138615,4,98.65332671515436
2022,SELL,11,3,8,27.27272727272727,-3.8300043144742184,-0.34818221040674713,2.8298503616691373,-1.5399444249352037,0.6891118071813392,-7.944559706322574,4,96.00491584967085
2023,SELL,11,1,10,9.090909090909092,-8.736660921255071,-0.7942419019322792,2.0141639583812596,-1.075082487963633,0.18734971324817945,-8.441018284258172,6,91.55898171574182
2024,SELL,9,4,5,44.44444444444444,4.27929891776189,0.47547765752909893,2.597371122231918,-1.2220371142331565,1.7003549839723489,-4.162500880672915,3,104.1857577935131
2025,SELL,6,3,3,50.0,-0.5691658068386773,-0.09486096780644622,2.0545651915578675,-2.2442871271707596,0.915464499476917,-6.593717670610455,3,99.27921418447967
2026,SELL,8,4,4,50.0,5.463206562618307,0.6829008203272884,2.1761417163558217,-0.8103400757012452,2.6854672274139357,-3.2038306663806027,4,105.48441363697259
