entry_time,exit_time,entry_price,exit_price,bars_held,pnl_pct,year
2020-04-01 23:00:00,2020-04-02 22:00:00,6520.76,6842.71,24,4.787307921162561,2020
2020-07-11 00:00:00,2020-07-11 23:00:00,9288.34,9234.03,24,-0.7347115846319094,2020
2021-01-03 06:00:00,2021-01-04 05:00:00,33758.67,32813.01,24,-2.9512359491650475,2021
2021-02-11 14:00:00,2021-02-12 13:00:00,47555.46,47871.4,24,0.5143611480153958,2021
2021-12-26 23:00:00,2021-12-27 22:00:00,50973.65,51020.06,24,-0.058952959028838986,2021
2022-06-07 20:00:00,2022-06-08 19:00:00,31059.71,30140.14,24,-3.1106522404748778,2022
2022-07-19 15:00:00,2022-07-20 14:00:00,22626.18,24191.35,24,6.767517672006491,2022
2022-08-10 13:00:00,2022-08-11 12:00:00,23983.92,24862.02,24,3.511203006014039,2022
2023-01-25 22:00:00,2023-01-26 21:00:00,23592.56,23081.77,24,-2.3150469470036352,2023
2023-02-17 20:00:00,2023-02-18 19:00:00,24524.49,24608.34,24,0.19190313437710035,2023
2023-08-14 04:00:00,2023-08-15 03:00:00,29399.91,29402.01,24,-0.14285712099119166,2023
2023-09-15 23:00:00,2023-09-16 22:00:00,26776.32,26560.01,24,-0.9578406592093363,2023
2023-11-07 19:00:00,2023-11-08 18:00:00,35377.0,35589.57,24,0.450870622155637,2023
2024-01-04 21:00:00,2024-01-05 20:00:00,44113.68,43955.07,24,-0.5095483305858876,2024
2024-05-15 13:00:00,2024-05-16 12:00:00,63757.57,66011.01,24,3.384388151869645,2024
2024-05-17 15:00:00,2024-05-18 14:00:00,66806.67,66793.66,24,-0.1694741034091278,2024
2024-09-17 11:00:00,2024-09-18 10:00:00,59235.99,59907.49,24,0.9836013798368187,2024
2025-01-20 07:00:00,2025-01-21 06:00:00,107482.36,102176.04,24,-5.086921742321259,2025
2025-03-25 20:00:00,2025-03-26 19:00:00,88116.23,86567.19,24,-1.9079508338021198,2025
2025-05-18 23:00:00,2025-05-19 22:00:00,105928.11,105549.92,24,-0.5070251560232711,2025
2025-08-10 04:00:00,2025-08-11 03:00:00,118500.0,121728.99,24,2.5748860759493715,2025
2025-09-30 20:00:00,2025-10-01 19:00:00,114359.99,117439.53,24,2.542847384824005,2025
2026-04-13 15:00:00,2026-04-14 14:00:00,72400.15,75013.62,24,3.459757714590373,2026
2026-05-05 03:00:00,2026-05-06 02:00:00,80554.69,81363.54,24,0.8541004440585537,2026
2026-06-14 22:00:00,2026-06-15 21:00:00,65311.59,66368.15,24,1.4677220612757975,2026
