market,trades,wr,pnl,pf,exp,median,dd,equity
BINANCE,25,52.0,13.038249089489286,1.706595237130793,0.5215299635795714,0.19190313437710035,-7.369868100918453,112.93435875232993
BYBIT,24,50.0,9.069539922675288,1.4593107261511666,0.377897496778137,-0.01569703418020811,-7.675826515985895,108.5589144317518
OKX,26,53.84615384615385,9.156609429562026,1.4009917754741148,0.3521772857523856,0.18033129304938864,-9.881521869811339,108.53971372048365
