entry_regime,trades,wins,losses,win_rate,pnl,expectancy,avg_win,avg_loss,profit_factor,max_drawdown,max_loss_streak,ending_equity
BEAR,57,20,37,35.08771929824561,9.197087141564511,0.16135240599235984,2.939083752978569,-1.3401239977839698,1.1854827785757303,-17.078405191332568,11,107.65258297009322
BULL,76,27,49,35.526315789473685,-12.748357351699857,-0.16774154410131392,2.765836624783944,-1.7842029840993132,0.8541810766394982,-26.60547566098578,7,85.88769780342935
NEUTRAL,34,9,25,26.47058823529412,-10.309081299972583,-0.30320827352860535,2.6324089602056477,-1.3600304776729362,0.6967985212327946,-14.917703689659001,8,89.61408271041049
