variant,exit_model,min_pf_cross_market,min_exp_cross_market,min_trades_cross_market,both_markets_positive,binance_pf,bybit_pf
V1.5A_CURRENT,TIME24H,1.7059821015822756,0.527897496778137,24,True,2.0022591416213293,1.7059821015822756
V1.9B_ROBUST,TIME24H,1.3616121838330888,0.3060938054591542,27,True,1.3616121838330888,1.6926808432114069
V1.9B_ROBUST,TIME48H,1.052203725044198,0.06664121230882224,27,True,1.052203725044198,2.356405858323427
V1.9B_ROBUST,SL2.0_TP2.0,0.9661339159952118,-0.03024281630049622,27,False,0.9661339159952118,1.3015457529509296
V1.9B_ROBUST,SL2.5_TP3.0,0.9523661020687265,-0.05828564169568471,27,False,0.9523661020687265,1.1095436741992908
V1.5A_CURRENT,TIME48H,0.9035993931628178,-0.11432396317071937,24,False,0.9035993931628178,2.2482097042865234
V1.9B_ROBUST,SL2.0_TP3.0,0.8832218220624328,-0.12360617296953554,27,False,1.1904576275859071,0.8832218220624328
V1.9B_ROBUST,SL1.5_TP3.0,0.8505753822210169,-0.13223077876704237,27,False,1.3460039925816338,0.8505753822210169
V1.5A_CURRENT,SL2.5_TP3.0,0.7932084484641737,-0.24083823035445653,24,False,0.9551342978265852,0.7932084484641737
V1.5A_CURRENT,SL2.0_TP3.0,0.760181968912797,-0.2463109856932302,24,False,0.8772364213424415,0.760181968912797
V1.5A_CURRENT,SL1.5_TP3.0,0.7486517577268517,-0.21227628933607157,24,False,1.0435536726536283,0.7486517577268517
V1.5A_CURRENT,SL2.0_TP2.0,0.6618743256754,-0.31487201695180894,24,False,0.9891185281980968,0.6618743256754
