asset,removed_top_winners,trades,wr,pnl,pf,exp,median,dd
BTC,0,20,50.0,6.732543824535151,1.412350173032654,0.33662719122675755,-0.01569703418020811,-7.675826515985884
BTC,1,19,47.368421052631575,-0.4536729802558521,0.9722137520699086,-0.023877525276623797,-0.20838332093311518,-10.998333374367785
BTC,2,18,44.44444444444444,-3.9330552471753735,0.7591109610293952,-0.21850306928752075,-0.23174196590458132,-10.998333374367785
BTC,3,17,41.17647058823529,-7.302594030518728,0.5527357874600197,-0.42956435473639576,-0.25510061087604746,-13.899522361055883
ETH,0,14,57.14285714285714,17.587633262985946,1.9526515830378872,1.2562595187847105,1.0924241297387263,-8.32202942941047
ETH,1,13,53.84615384615385,10.198751780093806,1.5524254959741708,0.7845193676995236,1.0658738799095564,-8.322029429410483
ETH,2,12,50.0,4.164624735842326,1.225581025487301,0.3470520613201938,0.1808672292155562,-8.322029429410483
ETH,3,11,45.45454545454545,-1.726829295719269,0.9064645801055402,-0.15698448142902446,-0.704139421478444,-10.14331219640936
SOL,0,13,46.15384615384615,8.177733389697064,1.5531892458241787,0.6290564145920818,-0.37925988584439285,-13.190399551810717
SOL,1,12,41.66666666666667,2.209650103901297,1.1494735296766327,0.1841375086584414,-0.6119414942471206,-13.190399551810717
SOL,2,11,36.36363636363637,-3.4860145652927863,0.76418578640189,-0.31691041502661693,-0.8446231026498483,-13.92361349251412
SOL,3,10,30.0,-7.965359382272178,0.46117696195022057,-0.7965359382272178,-1.1116389149234172,-13.92361349251413
