side,entry_time,exit_time,entry_price,exit_price,reason,pnl_pct,year
BUY,2020-04-01 23:00:00,2020-04-02 14:00:00,6520.76,6765.763677108198,TAKE_PROFIT,3.7572871430354398,2020
SELL,2020-07-05 10:00:00,2020-07-05 21:00:00,9019.58,8914.291617672878,TAKE_PROFIT,1.1673313206060842,2020
BUY,2020-07-11 00:00:00,2020-07-11 09:00:00,9288.34,9229.077119095364,STOP,-0.6380352237820365,2020
SELL,2020-12-11 01:00:00,2020-12-12 00:00:00,18018.31,18269.128425524916,STOP,-1.3920197039839715,2020
BUY,2021-01-03 06:00:00,2021-01-03 16:00:00,33758.67,32706.582613844643,STOP,-3.1164953659470456,2021
BUY,2021-02-11 14:00:00,2021-02-12 14:00:00,47555.46,46386.24560661383,STOP,-2.4586333375519156,2021
SELL,2021-08-05 09:00:00,2021-08-05 12:00:00,38482.86,37391.006162568614,TAKE_PROFIT,2.837247121007603,2021
BUY,2021-12-26 23:00:00,2021-12-27 17:00:00,50973.65,52082.66657305967,TAKE_PROFIT,2.1756663944207855,2021
SELL,2022-02-21 12:00:00,2022-02-21 14:00:00,37576.1,38208.74838350692,STOP,-1.6836456777231352,2022
SELL,2022-04-10 23:00:00,2022-04-11 10:00:00,42111.93,41257.67944284304,TAKE_PROFIT,2.0285238818476463,2022
SELL,2022-05-27 18:00:00,2022-05-27 19:00:00,28388.13,28900.052133550642,STOP,-1.8032964254800892,2022
BUY,2022-06-07 20:00:00,2022-06-07 22:00:00,31059.71,30552.690856073208,STOP,-1.6324014098225352,2022
BUY,2022-07-19 15:00:00,2022-07-19 19:00:00,22626.18,23691.19942446123,TAKE_PROFIT,4.707022681076649,2022
BUY,2022-08-10 13:00:00,2022-08-10 18:00:00,23983.92,23662.546166507804,STOP,-1.339955409675293,2022
SELL,2022-08-22 19:00:00,2022-08-22 23:00:00,21023.94,21322.54349854658,STOP,-1.4203022770545448,2022
SELL,2022-12-25 21:00:00,2022-12-25 21:00:00,16769.01,16821.822943062947,STOP,-0.3149437150013553,2022
BUY,2023-01-25 22:00:00,2023-01-25 22:00:00,23592.56,23272.943559803392,STOP,-1.3547340356307618,2023
BUY,2023-02-17 20:00:00,2023-02-17 22:00:00,24524.49,24115.77926950047,STOP,-1.6665412022820185,2023
SELL,2023-05-10 18:00:00,2023-05-10 20:00:00,27498.73,27883.11746027232,STOP,-1.397837137468963,2023
SELL,2023-05-16 02:00:00,2023-05-16 08:00:00,27024.64,27272.213952938517,STOP,-0.9161045362251535,2023
SELL,2023-05-18 18:00:00,2023-05-18 19:00:00,26489.0,26785.88903453984,STOP,-1.120801217636904,2023
BUY,2023-08-14 04:00:00,2023-08-14 14:00:00,29399.91,29587.514881975323,TAKE_PROFIT,0.6381137968630626,2023
SELL,2023-09-11 12:00:00,2023-09-11 13:00:00,25601.27,25750.24969929808,STOP,-0.5819230815427554,2023
BUY,2023-09-15 23:00:00,2023-09-16 00:00:00,26776.32,26580.65181443155,STOP,-0.7307508483930989,2023
BUY,2023-11-07 19:00:00,2023-11-08 23:00:00,35377.0,35997.69774638946,TAKE_PROFIT,1.754523408964746,2023
BUY,2024-01-04 21:00:00,2024-01-05 01:00:00,44113.68,43438.52700898674,STOP,-1.5304844007873737,2024
BUY,2024-05-15 13:00:00,2024-05-15 18:00:00,63757.57,65278.84897950812,TAKE_PROFIT,2.386036637701404,2024
BUY,2024-05-17 15:00:00,2024-05-19 18:00:00,66806.67,66586.21,TREND_REVERSAL,-0.3299969898215131,2024
SELL,2024-08-15 19:00:00,2024-08-15 20:00:00,57872.82,56093.244287192545,TAKE_PROFIT,3.074976669198865,2024
SELL,2024-09-05 10:00:00,2024-09-06 07:00:00,56797.0,55525.20565053281,TAKE_PROFIT,2.239192826147847,2024
BUY,2024-09-17 11:00:00,2024-09-17 14:00:00,59235.99,60341.713735960286,TAKE_PROFIT,1.8666417763259933,2024
BUY,2025-01-20 07:00:00,2025-01-20 15:00:00,107482.36,104892.25893464031,STOP,-2.409791769886416,2025
SELL,2025-03-10 17:00:00,2025-03-11 08:00:00,79009.01,80865.2492545847,STOP,-2.349401991728172,2025
