asset,trades,wr,pnl,pf,exp,median,dd
BTC,20,50.0,6.732543824535151,1.412350173032654,0.33662719122675755,-0.01569703418020811,-7.675826515985884
ETH,14,57.14285714285714,17.587633262985946,1.9526515830378872,1.2562595187847105,1.0924241297387263,-8.32202942941047
SOL,13,46.15384615384615,8.177733389697064,1.5531892458241787,0.6290564145920818,-0.37925988584439285,-13.190399551810717
