side,entry_time,exit_time,entry_price,exit_price,reason,pnl_pct,year
SELL,2017-09-02 06:00:00,2017-09-02 06:00:00,4493.0,4625.052720318601,STOP,-2.939076793202785,2017
BUY,2017-09-23 11:00:00,2017-09-24 04:00:00,3779.0,3697.009811206232,STOP,-2.1696265888798116,2017
BUY,2017-09-30 07:00:00,2017-10-02 01:00:00,4280.0,4522.105781314491,TAKE_PROFIT,5.656677133516139,2017
SELL,2017-10-22 03:00:00,2017-10-23 05:00:00,5912.06,6024.453066262832,STOP,-1.9010812857588009,2017
SELL,2017-11-21 04:00:00,2017-11-21 05:00:00,7894.41,8037.691111697629,STOP,-1.8149692212290605,2017
SELL,2017-11-24 00:00:00,2017-11-24 03:00:00,8019.97,8127.709334912408,STOP,-1.3433882534773531,2017
SELL,2017-12-03 22:00:00,2017-12-04 00:00:00,10899.98,11262.332214231534,STOP,-3.324338340359654,2017
SELL,2017-12-08 13:00:00,2017-12-08 23:00:00,14794.48,15972.19194066582,STOP,-7.960482157303401,2017
SELL,2017-12-18 01:00:00,2017-12-18 02:00:00,17810.0,18486.749964710507,STOP,-3.7998313571617452,2017
SELL,2018-01-11 04:00:00,2018-01-11 04:00:00,12911.92,11438.77212902357,TAKE_PROFIT,11.409208475396614,2018
SELL,2018-01-29 07:00:00,2018-01-30 13:00:00,11427.0,10847.437736016354,TAKE_PROFIT,5.071867191595744,2018
BUY,2018-02-23 15:00:00,2018-02-23 16:00:00,10329.87,10029.488856148826,STOP,-2.9078889071321785,2018
BUY,2018-03-18 22:00:00,2018-03-20 17:00:00,8225.01,8836.153467522516,TAKE_PROFIT,7.4303066807519444,2018
BUY,2018-03-24 00:00:00,2018-03-24 10:00:00,8898.04,8693.042624062251,STOP,-2.3038486670969096,2018
SELL,2018-03-25 00:00:00,2018-03-26 11:00:00,8531.25,8130.087369601536,TAKE_PROFIT,4.702272590751226,2018
SELL,2018-05-06 07:00:00,2018-05-07 01:00:00,9685.63,9410.914163914618,TAKE_PROFIT,2.8363238744963515,2018
SELL,2018-05-21 19:00:00,2018-05-21 20:00:00,8340.99,8439.039047604325,STOP,-1.1755085140292112,2018
BUY,2018-05-29 12:00:00,2018-05-30 15:00:00,7403.98,7324.81,TREND_REVERSAL,-1.069289760372113,2018
SELL,2018-08-10 10:00:00,2018-08-10 12:00:00,6340.0,6457.350696293313,STOP,-1.8509573547841225,2018
BUY,2018-08-11 18:00:00,2018-08-11 23:00:00,6438.28,6291.206988164887,STOP,-2.2843525263752587,2018
BUY,2018-09-26 12:00:00,2018-09-26 13:00:00,6528.64,6460.708381818729,STOP,-1.0405171395768644,2018
SELL,2018-10-02 17:00:00,2018-10-03 03:00:00,6543.54,6439.265348467133,TAKE_PROFIT,1.5935510676616513,2018
BUY,2018-10-04 02:00:00,2018-10-07 08:00:00,6593.09,6527.284808158898,STOP,-0.9980933347050015,2018
SELL,2018-10-09 14:00:00,2018-10-09 17:00:00,6613.82,6649.2442806600775,STOP,-0.5356099902942292,2018
BUY,2018-11-12 01:00:00,2018-11-12 22:00:00,6458.87,6421.255790569318,STOP,-0.5823651727110395,2018
SELL,2018-11-23 00:00:00,2018-11-24 00:00:00,4370.9,4484.409541923258,STOP,-2.596937516833111,2018
SELL,2018-11-26 21:00:00,2018-11-28 03:00:00,3776.34,3946.072983904959,STOP,-4.494642534966633,2018
BUY,2018-12-28 16:00:00,2018-12-29 23:00:00,3785.9,3717.8598466859457,STOP,-1.797198904198588,2018
SELL,2019-01-03 17:00:00,2019-01-04 03:00:00,3738.71,3784.433563028308,STOP,-1.2229769901465488,2019
BUY,2019-01-14 16:00:00,2019-01-15 09:00:00,3630.98,3584.50356175148,STOP,-1.2799970875223776,2019
BUY,2019-02-01 14:00:00,2019-02-02 05:00:00,3469.83,3442.9503505852254,STOP,-0.7746676181477069,2019
BUY,2019-02-08 10:00:00,2019-02-08 15:00:00,3426.56,3472.184354585057,TAKE_PROFIT,1.3314914837346221,2019
BUY,2019-02-16 15:00:00,2019-02-16 23:00:00,3637.55,3615.0772311699366,STOP,-0.6177995857119108,2019
SELL,2019-02-24 15:00:00,2019-02-25 18:00:00,3789.98,3870.679706408154,STOP,-2.129291088822469,2019
