side,entry_time,exit_time,entry_price,exit_price,reason,pnl_pct,year
BUY,2020-07-11 00:00:00,2020-07-11 09:00:00,9278.0,9228.20628127628,STOP,-0.5366859099344718,2020
SELL,2020-07-16 07:00:00,2020-07-16 07:00:00,9181.5,9114.792178307542,TAKE_PROFIT,0.7265460076508012,2020
BUY,2020-07-24 21:00:00,2020-07-24 22:00:00,9608.0,9555.262712114367,STOP,-0.5488893410244913,2020
SELL,2020-12-10 15:00:00,2020-12-10 18:00:00,18075.0,18307.183317791427,STOP,-1.2845550085279493,2020
BUY,2021-03-08 21:00:00,2021-03-09 01:00:00,51770.5,53552.82290407005,TAKE_PROFIT,3.442738439980401,2021
SELL,2021-03-17 15:00:00,2021-03-17 17:00:00,54597.5,55657.6372232322,STOP,-1.9417321731438304,2021
SELL,2021-04-21 23:00:00,2021-04-22 11:00:00,54060.0,55067.58038127708,STOP,-1.8638186853072194,2021
SELL,2021-12-15 16:00:00,2021-12-15 18:00:00,46608.5,47373.95616889277,STOP,-1.6423102414640494,2021
SELL,2022-01-19 08:00:00,2022-01-19 11:00:00,41287.5,41764.96374415124,STOP,-1.1564365586466574,2022
SELL,2022-03-07 03:00:00,2022-03-07 12:00:00,37771.0,38411.65076704508,STOP,-1.6961445739987848,2022
SELL,2022-04-10 23:00:00,2022-04-11 10:00:00,42103.0,41230.43718864719,TAKE_PROFIT,2.072448071046736,2022
SELL,2022-05-20 16:00:00,2022-05-22 09:00:00,29130.0,29677.021053008575,STOP,-1.8778614933353077,2022
SELL,2022-05-27 18:00:00,2022-05-27 19:00:00,28374.0,28887.298418618728,STOP,-1.8090449658797765,2022
SELL,2022-08-22 19:00:00,2022-08-22 23:00:00,21007.0,21300.664595403294,STOP,-1.3979368563016794,2022
BUY,2023-02-17 20:00:00,2023-02-17 22:00:00,24526.8,24103.653522191293,STOP,-1.725241278147604,2023
BUY,2023-09-15 23:00:00,2023-09-16 04:00:00,26761.3,26558.50359761714,STOP,-0.7577972758530447,2023
BUY,2023-11-07 19:00:00,2023-11-08 15:00:00,35408.9,35083.49093152928,STOP,-0.9190036077673096,2023
BUY,2024-01-04 22:00:00,2024-01-05 01:00:00,44456.0,43704.958630302404,STOP,-1.6894038368220166,2024
BUY,2024-02-01 20:00:00,2024-02-02 13:00:00,43201.1,42683.70759334536,STOP,-1.1976371126074077,2024
BUY,2024-05-17 15:00:00,2024-05-19 18:00:00,66799.9,66555.4,TREND_REVERSAL,-0.3660185120037605,2024
SELL,2024-09-05 10:00:00,2024-09-06 07:00:00,56770.3,55465.38046555312,TAKE_PROFIT,2.298595452986654,2024
BUY,2024-09-17 11:00:00,2024-09-17 14:00:00,59210.0,60352.5393427815,TAKE_PROFIT,1.9296391534901196,2024
BUY,2025-03-25 20:00:00,2025-03-25 22:00:00,88053.8,87257.57308260624,STOP,-0.904250489352836,2025
BUY,2025-08-10 04:00:00,2025-08-10 06:00:00,118488.9,117747.89185693792,STOP,-0.6253819075559631,2025
SELL,2025-08-21 20:00:00,2025-08-22 02:00:00,112146.2,113042.2994399508,STOP,-0.7990457455988748,2025
SELL,2025-11-12 16:00:00,2025-11-13 05:00:00,102110.2,103307.81035555634,STOP,-1.1728606501175651,2025
SELL,2026-02-03 17:00:00,2026-02-03 18:00:00,76456.0,73966.50803406439,TAKE_PROFIT,3.256110659641636,2026
BUY,2026-04-13 15:00:00,2026-04-13 15:00:00,72348.4,71724.1289291354,STOP,-0.8628678324117603,2026
SELL,2026-06-30 13:00:00,2026-06-30 14:00:00,58378.6,58962.75956513954,STOP,-1.0006399008190332,2026
