side,entry_time,exit_time,entry_price,exit_price,reason,pnl_pct,entry_regime,entry_atr_ratio,entry_adx,year
BUY,2017-09-30 07:00:00,2017-10-02 01:00:00,4280.0,4522.105781314491,TAKE_PROFIT,5.656677133516139,BULL,1.1364276097129509,25.140540853836676,2017
SELL,2018-01-11 04:00:00,2018-01-11 04:00:00,12911.92,11438.77212902357,TAKE_PROFIT,11.409208475396614,BEAR,1.0848540108435276,27.94131856284998,2018
BUY,2018-03-24 00:00:00,2018-03-24 10:00:00,8898.04,8693.042624062251,STOP,-2.3038486670969096,BULL,1.0712100578046357,26.926110572759125,2018
SELL,2018-05-21 19:00:00,2018-05-21 20:00:00,8340.99,8439.039047604325,STOP,-1.1755085140292112,BEAR,1.0199686937306647,26.27259161621401,2018
SELL,2018-11-26 21:00:00,2018-11-28 03:00:00,3776.34,3946.072983904959,STOP,-4.494642534966633,BEAR,1.1084234448049315,26.740076045915508,2018
BUY,2019-02-16 15:00:00,2019-02-16 23:00:00,3637.55,3615.0772311699366,STOP,-0.6177995857119108,BULL,1.0063660513907002,37.014075789598614,2019
SELL,2019-07-27 11:00:00,2019-07-28 22:00:00,9546.65,9199.898806239988,TAKE_PROFIT,3.632176666789,BEAR,1.1939057315016226,26.497109563288895,2019
BUY,2020-03-23 13:00:00,2020-03-24 08:00:00,6324.0,6791.98533006095,TAKE_PROFIT,7.400147534170623,BULL,1.0239883625709074,27.97490020870266,2020
BUY,2020-04-01 23:00:00,2020-04-02 14:00:00,6520.76,6765.763677108198,TAKE_PROFIT,3.7572871430354398,BULL,1.0945545972867978,30.160503356512322,2020
SELL,2020-07-05 10:00:00,2020-07-05 21:00:00,9019.58,8914.291617672878,TAKE_PROFIT,1.1673313206060842,BEAR,1.071742490056814,25.39114708740466,2020
BUY,2021-12-26 23:00:00,2021-12-27 17:00:00,50973.65,52082.66657305967,TAKE_PROFIT,2.1756663944207855,BULL,1.0717975686755756,25.920424471268305,2021
SELL,2022-04-10 23:00:00,2022-04-11 10:00:00,42111.93,41257.67944284304,TAKE_PROFIT,2.0285238818476463,BEAR,1.1044709428171797,25.680574901137778,2022
SELL,2022-05-27 18:00:00,2022-05-27 19:00:00,28388.13,28900.052133550642,STOP,-1.8032964254800892,BEAR,1.1403048143391534,35.808124382248316,2022
SELL,2022-08-22 19:00:00,2022-08-22 23:00:00,21023.94,21322.54349854658,STOP,-1.4203022770545448,BEAR,1.1261973407519366,25.583883995823754,2022
BUY,2023-02-17 20:00:00,2023-02-17 22:00:00,24524.49,24115.77926950047,STOP,-1.6665412022820185,BULL,1.1295932083358313,27.982417997209488,2023
BUY,2023-11-07 19:00:00,2023-11-08 23:00:00,35377.0,35997.69774638946,TAKE_PROFIT,1.754523408964746,BULL,1.1500129427936712,26.40347536804385,2023
SELL,2024-08-15 19:00:00,2024-08-15 20:00:00,57872.82,56093.244287192545,TAKE_PROFIT,3.074976669198865,BEAR,1.0781775748079674,25.704563293335323,2024
BUY,2024-09-17 11:00:00,2024-09-17 14:00:00,59235.99,60341.713735960286,TAKE_PROFIT,1.8666417763259933,BULL,1.1373030234723038,28.20646024489453,2024
BUY,2025-03-25 20:00:00,2025-03-25 22:00:00,88116.23,87326.64608625745,STOP,-0.8960709210352623,BULL,1.1426926489507567,27.990323369128777,2025
BUY,2025-08-10 04:00:00,2025-08-10 06:00:00,118500.0,117883.76474061482,STOP,-0.5200297547554287,BULL,1.0288551981774379,25.547284239344258,2025
SELL,2025-11-12 16:00:00,2025-11-13 05:00:00,102173.51,103340.87243430199,STOP,-1.142529442613835,BEAR,1.1306059069909642,29.265941155844146,2025
BUY,2026-04-13 15:00:00,2026-04-13 15:00:00,72400.15,71791.36854415474,STOP,-0.8408566223208819,BULL,1.178893295184222,30.00527292374807,2026
