scope,scenario,asset,market,period_start,period_end,candles,trades,wins,losses,win_rate_pct,simple_return_pct,compounded_return_pct,ending_equity,profit_factor,expectancy_pct,median_trade_pct,max_drawdown_pct,max_loss_streak,payoff_ratio,trade_sharpe,recovery_factor,average_clock_hours,classification
FULL_AVAILABLE,FULL_GROSS,BTC,BINANCE_SPOT,2017-08-17 04:00:00+00:00,2026-08-15 18:00:00+00:00,78727,32,20,12,62.5,21.077840143493347,22.07778402602372,122.07778402602372,1.999907284888416,0.6586825044841671,0.5198589596043539,-6.941516553290727,3,1.1999443709330495,1.4138135849054292,3.1805418681249744,24.0,HISTORICALLY_POSITIVE
FULL_AVAILABLE,FULL_COST,BTC,BINANCE_SPOT,2017-08-17 04:00:00+00:00,2026-08-15 18:00:00+00:00,78727,32,18,14,56.25,16.27784014349335,16.385192174801986,116.38519217480199,1.705230004502227,0.5086825044841672,0.36985895960435394,-7.369868100918464,3,1.3262900035017322,1.09184960940574,2.2232680355242715,24.0,HISTORICALLY_POSITIVE
FULL_AVAILABLE,FULL_GROSS,BTC,BYBIT_PERPETUAL,2020-03-25 10:00:00+00:00,2026-08-15 18:00:00+00:00,56025,24,12,12,50.0,12.669539922675288,12.522780946765536,112.52278094676554,1.7059821015822756,0.527897496778137,0.1343029658197919,-7.033678427127999,3,1.7059821015822756,0.9500074616386328,1.7804028257059308,24.0,HISTORICALLY_POSITIVE
FULL_AVAILABLE,FULL_COST,BTC,BYBIT_PERPETUAL,2020-03-25 10:00:00+00:00,2026-08-15 18:00:00+00:00,56025,24,12,12,50.0,9.069539922675286,8.558914431751788,108.55891443175179,1.4593107261511666,0.37789749677813694,-0.01569703418020811,-7.675826515985895,3,1.4593107261511669,0.6800665732739266,1.1150479253181074,24.0,HISTORICALLY_POSITIVE
FULL_AVAILABLE,FULL_GROSS,BTC,OKX_PERPETUAL,2020-01-01 00:00:00+00:00,2026-08-15 18:00:00+00:00,58051,27,15,12,55.55555555555556,14.427589051462354,14.387871418338236,114.38787141833824,1.6858879793175126,0.5343551500541612,0.3532400023628123,-9.32519447244583,4,1.34871038345401,1.0204815744535518,1.5429030955709986,24.0,HISTORICALLY_POSITIVE
FULL_AVAILABLE,FULL_COST,BTC,OKX_PERPETUAL,2020-01-01 00:00:00+00:00,2026-08-15 18:00:00+00:00,58051,27,15,12,55.55555555555556,10.377589051462348,9.864961506679677,109.86496150667968,1.4544616531804684,0.38435515005416104,0.20324000236281228,-9.88152186981136,4,1.1635693225443746,0.7340199652550293,0.9983241080321569,24.0,HISTORICALLY_POSITIVE
FULL_AVAILABLE,FULL_GROSS,ETH,BYBIT_PERPETUAL,2021-03-15 00:00:00+00:00,2026-08-15 19:00:00+00:00,47516,16,9,7,56.25,17.569061580058044,17.23173928758024,117.23173928758024,1.8292424390002033,1.0980663487536277,1.2424241297387262,-8.172029429410477,2,1.4227441192223804,0.9554823027488393,2.1086242329921863,24.0,HISTORICALLY_POSITIVE
FULL_AVAILABLE,FULL_COST,ETH,BYBIT_PERPETUAL,2021-03-15 00:00:00+00:00,2026-08-15 19:00:00+00:00,47516,16,9,7,56.25,15.169061580058042,14.474081364604572,114.47408136460457,1.682157763054137,0.9480663487536276,1.0924241297387263,-8.32202942941047,2,1.3083449268198843,0.8249598205919044,1.7392490001840706,24.0,HISTORICALLY_POSITIVE
FULL_AVAILABLE,FULL_GROSS,SOL,BYBIT_PERPETUAL,2021-10-15 00:00:00+00:00,2026-08-15 19:00:00+00:00,42380,13,6,7,46.15384615384615,10.127733389697065,9.811221588396819,109.81122158839682,1.7374803528791247,0.779056414592082,-0.22925988584439283,-12.387340554251026,6,2.027060411692312,0.7967939740278828,0.7920361554143156,24.0,HISTORICALLY_POSITIVE
FULL_AVAILABLE,FULL_COST,SOL,BYBIT_PERPETUAL,2021-10-15 00:00:00+00:00,2026-08-15 19:00:00+00:00,42380,13,6,7,46.15384615384615,8.177733389697064,7.702991432271176,107.70299143227118,1.5531892458241787,0.6290564145920818,-0.3792598858443928,-13.190399551810705,6,1.8120541201282085,0.6433787734525004,0.5839846929590357,24.0,HISTORICALLY_POSITIVE
