scope,scenario,asset,market,sample_trades,bootstrap_samples,expectancy_ci_low_pct,expectancy_ci_high_pct,probability_expectancy_positive_pct,probability_pf_above_one_pct,median_profit_factor,terminal_equity_ci_low,terminal_equity_ci_high
FULL_AVAILABLE,FULL_COST,BTC,BINANCE_SPOT,32,20000,-0.3764238519162191,1.4172509183135535,86.675,86.675,1.7185097072547415,87.7400765705627,155.23781876582484
FULL_AVAILABLE,FULL_COST,BTC,BYBIT_PERPETUAL,24,20000,-0.666350881555607,1.456091809231583,75.14,75.14,1.4535835324143345,84.5845870677738,140.14093433024206
FULL_AVAILABLE,FULL_COST,BTC,OKX_PERPETUAL,27,20000,-0.6092096346540267,1.4032050212957472,76.885,76.885,1.4476410082758857,84.08287100715843,144.2125512923722
FULL_AVAILABLE,FULL_COST,ETH,BYBIT_PERPETUAL,16,20000,-1.2658795567848684,3.0536464798695553,80.43,80.43,1.7266746534327395,80.07204519812987,160.20160185551177
FULL_AVAILABLE,FULL_COST,SOL,BYBIT_PERPETUAL,13,20000,-1.156593060414825,2.5186593229669705,74.185,74.185,1.5425985051269286,85.55459094207987,137.23125651498836
FULL_AVAILABLE,FULL_COST,XRP,BYBIT_PERPETUAL,13,20000,-5.012207390881525,6.256315661757244,44.275,44.275,0.879114141996733,50.296975926011775,196.16450976341412
FULL_AVAILABLE,FULL_COST,BNB,BYBIT_PERPETUAL,12,20000,-2.8535271327331366,0.523452090454905,12.27,12.27,0.3886464371975714,69.92706796187733,106.317184409399
BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BINANCE_SPOT,25,20000,-0.48495043611559413,1.5417580609383679,84.315,84.315,1.711082092732521,87.85875480381267,145.25654704230396
BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BYBIT_PERPETUAL,24,20000,-0.666350881555607,1.456091809231583,75.14,75.14,1.4535835324143345,84.5845870677738,140.14093433024206
BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,OKX_PERPETUAL,26,20000,-0.6909533181512004,1.4189716709678641,74.125,74.125,1.3942847110864358,82.81333230872177,142.86077600986644
ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BTC,BYBIT_PERPETUAL,20,20000,-0.7739086459334997,1.5233417507956422,70.5,70.5,1.409677576969666,85.17557968799657,134.238051193713
ASSET_COMMON_PERIOD,ASSET_COMMON_COST,ETH,BYBIT_PERPETUAL,14,20000,-1.1994668455547683,3.5356082961244812,84.76,84.76,2.0169258224092497,82.98128751038466,161.32300117962413
ASSET_COMMON_PERIOD,ASSET_COMMON_COST,SOL,BYBIT_PERPETUAL,13,20000,-1.156593060414825,2.5186593229669705,74.185,74.185,1.5425985051269286,85.55459094207987,137.23125651498836
ASSET_COMMON_PERIOD,ASSET_COMMON_COST,XRP,BYBIT_PERPETUAL,12,20000,-5.440759462143554,6.890907332584249,44.690000000000005,44.690000000000005,0.8879997759020729,50.181182108027755,198.38208764401486
ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BNB,BYBIT_PERPETUAL,12,20000,-2.8535271327331366,0.523452090454905,12.27,12.27,0.3886464371975714,69.92706796187733,106.317184409399
