trade_id,asset,market,signal_time,entry_time,entry_price,exit_bar_time,exit_execution_time,exit_price,bars_held,clock_hours,gross_return_pct,fees_pct,slippage_pct,funding_pct,pnl_pct,mfe_pct,mae_pct,signal_adx,config_hash,scope,scenario,asset_pnl_pct
32c46650f30ddb3ccd26,ETH,BYBIT_PERPETUAL,2021-10-20 12:00:00+00:00,2021-10-20 13:00:00+00:00,3938.25,2021-10-21 12:00:00+00:00,2021-10-21 13:00:00+00:00,4235.15,24,24.0,7.538881482892139,0.11,0.04,0.0,1.4777762965784278,11.623182885799531,0.14600393575826826,25.394545721275602,8b8cf8982136e554,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,7.388881482892138
09f7e237d0aa36dd4746,BNB,BYBIT_PERPETUAL,2021-10-22 08:00:00+00:00,2021-10-22 09:00:00+00:00,498.3,2021-10-23 08:00:00+00:00,2021-10-23 09:00:00+00:00,480.5,24,24.0,-3.5721452939996006,0.11,0.04,0.0,-0.7444290587999202,0.0401364639775213,4.665863937387115,31.7748192265479,8b8cf8982136e554,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,-3.7221452939996005
5d57919faf9cb576b28e,SOL,BYBIT_PERPETUAL,2021-10-31 15:00:00+00:00,2021-10-31 16:00:00+00:00,195.06,2021-11-01 15:00:00+00:00,2021-11-01 16:00:00+00:00,204.09,24,24.0,4.629344816979391,0.11,0.04,0.0,0.8958689633958783,8.48713216446222,0.9279196144775977,28.867850518427893,8b8cf8982136e554,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,4.479344816979391
15f48fb91a2e59f24bb8,XRP,BYBIT_PERPETUAL,2021-11-10 13:00:00+00:00,2021-11-10 14:00:00+00:00,1.314,2021-11-11 13:00:00+00:00,2021-11-11 14:00:00+00:00,1.2094,24,24.0,-7.960426179604263,0.11,0.04,0.0,-1.6220852359208526,2.88432267884323,16.248097412480973,28.174853897818615,8b8cf8982136e554,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,-8.110426179604262
340b2d12f4a110aca3a3,XRP,BYBIT_PERPETUAL,2021-12-21 05:00:00+00:00,2021-12-21 06:00:00+00:00,0.8931,2021-12-22 05:00:00+00:00,2021-12-22 06:00:00+00:00,0.9571,24,24.0,7.166050834173099,0.11,0.04,0.0,1.4032101668346197,8.935169633859589,1.6235583921173393,27.916272171451496,8b8cf8982136e554,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,7.0160508341730985
77d20e5cad1f8b4dacf6,XRP,BYBIT_PERPETUAL,2022-02-09 01:00:00+00:00,2022-02-09 02:00:00+00:00,0.8863,2022-02-10 01:00:00+00:00,2022-02-10 02:00:00+00:00,0.873,24,24.0,-1.5006205573733475,0.11,0.04,0.0,-0.3301241114746696,3.531535597427507,4.8629132347963475,41.11771547176061,8b8cf8982136e554,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,-1.6506205573733477
e5ad10f33d606fbe2288,ETH,BYBIT_PERPETUAL,2022-02-16 19:00:00+00:00,2022-02-16 20:00:00+00:00,3166.9,2022-02-17 19:00:00+00:00,2022-02-17 20:00:00+00:00,2908.1,24,24.0,-8.17202942941047,0.11,0.04,0.0,-1.6644058858820938,0.32523919290156705,9.117749218478638,26.22303660848123,8b8cf8982136e554,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,-8.322029429410469
0b75e5be52378d1ec56e,SOL,BYBIT_PERPETUAL,2022-03-29 12:00:00+00:00,2022-03-29 13:00:00+00:00,114.705,2022-03-30 12:00:00+00:00,2022-03-30 13:00:00+00:00,114.965,24,24.0,0.22666841026982706,0.11,0.04,0.0,0.015333682053965415,0.7541083649361361,6.708513142408782,26.32372868116753,8b8cf8982136e554,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,0.07666841026982707
747556afcc943968aba4,BTC,BYBIT_PERPETUAL,2022-06-07 19:00:00+00:00,2022-06-07 20:00:00+00:00,31049.5,2022-06-08 19:00:00+00:00,2022-06-08 20:00:00+00:00,30131.5,24,24.0,-2.9565693489428173,0.11,0.04,0.0,-0.6213138697885635,1.7665340826744393,3.9662474435981254,36.00528641498154,8b8cf8982136e554,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,-3.106569348942817
236d9e40187b19be41e1,SOL,BYBIT_PERPETUAL,2022-07-08 18:00:00+00:00,2022-07-08 19:00:00+00:00,38.87,2022-07-09 18:00:00+00:00,2022-07-09 19:00:00+00:00,38.6,24,24.0,-0.6946231026498483,0.11,0.04,0.0,-0.16892462052996968,1.1705685618729236,2.9071263184975447,25.19979651419861,8b8cf8982136e554,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,-0.8446231026498483
89daab2c70b8e97c2e05,ETH,BYBIT_PERPETUAL,2022-07-16 15:00:00+00:00,2022-07-16 16:00:00+00:00,1273.7,2022-07-17 15:00:00+00:00,2022-07-17 16:00:00+00:00,1350.65,24,24.0,6.041454031561595,0.11,0.04,0.0,1.178290806312319,13.280207270157796,0.1845018450184609,27.889096862308637,8b8cf8982136e554,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,5.891454031561595
6e47d4ea1262e59cbf48,SOL,BYBIT_PERPETUAL,2022-07-18 04:00:00+00:00,2022-07-18 05:00:00+00:00,40.885,2022-07-19 04:00:00+00:00,2022-07-19 05:00:00+00:00,43.275,24,24.0,5.845664669194083,0.11,0.04,0.0,1.1391329338388165,12.975418857771798,3.069585422526588,31.22547095551874,8b8cf8982136e554,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,5.695664669194082
b081d1c40e74904ae592,ETH,BYBIT_PERPETUAL,2022-08-10 12:00:00+00:00,2022-08-10 13:00:00+00:00,1822.55,2022-08-11 12:00:00+00:00,2022-08-11 13:00:00+00:00,1925.65,24,24.0,5.6569092754657015,0.11,0.04,0.0,1.1013818550931402,6.644536501056219,1.1028504019094076,34.03354152484255,8b8cf8982136e554,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,5.506909275465701
a9a5e81e62400e6e17a0,XRP,BYBIT_PERPETUAL,2022-08-13 02:00:00+00:00,2022-08-13 03:00:00+00:00,0.3811,2022-08-14 02:00:00+00:00,2022-08-14 03:00:00+00:00,0.3834,24,24.0,0.6035161374967264,0.11,0.04,0.0,0.09070322749934528,1.6531094200997187,1.2857517711886683,25.681173121860933,8b8cf8982136e554,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,0.4535161374967264
