year,trades,wins,losses,win_rate_pct,simple_return_pct,compounded_return_pct,ending_equity,profit_factor,expectancy_pct,median_trade_pct,max_drawdown_pct,max_loss_streak,payoff_ratio,trade_sharpe,recovery_factor,average_clock_hours,scope,scenario,asset,market
2025,5,2,3,40.0,-2.5448634991193955,-2.729514951114666,97.27048504888533,0.6663956294443633,-0.508972699823879,-0.5235119946824637,-7.491949430309274,3,0.9995934441665448,-0.34945663142267586,-0.3643263981564261,24.0,FULL_AVAILABLE,FULL_COST,BTC,OKX_PERPETUAL
2026,3,3,0,100.0,5.800692098597309,5.894443663904056,105.89444366390406,inf,1.9335640328657695,1.4802857519275643,0.0,0,inf,2.439731773250485,inf,24.0,FULL_AVAILABLE,FULL_COST,BTC,OKX_PERPETUAL
2021,3,2,1,66.66666666666666,4.970309799964234,4.736609516088052,104.73660951608805,2.3165989257452235,1.6567699333214112,1.3565413775289317,-3.775113060456836,1,1.1582994628726118,0.5135261842253444,1.2546934198349182,24.0,FULL_AVAILABLE,FULL_COST,ETH,BYBIT_PERPETUAL
2022,3,2,1,66.66666666666666,3.076333877616827,2.42519601226509,102.42519601226509,1.3696614994829157,1.0254446258722758,5.506909275465701,-8.322029429410483,1,0.6848307497414579,0.21934385629683367,0.29141882191552,24.0,FULL_AVAILABLE,FULL_COST,ETH,BYBIT_PERPETUAL
2023,5,2,3,40.0,-0.5567462476841617,-0.5801651248785191,99.41983487512148,0.7969261149926349,-0.11134924953683234,-0.704139421478444,-1.889835067386192,2,1.1953891724889523,-0.22361417058213645,-0.3069924645228107,24.0,FULL_AVAILABLE,FULL_COST,ETH,BYBIT_PERPETUAL
2024,2,1,1,50.0,-2.4358007180555887,-2.7063792967797013,97.2936207032203,0.6287053928646738,-1.2179003590277944,-1.2179003590277944,-6.560291130670281,1,0.6287053928646738,-0.22796916419750354,-0.41253951126147415,24.0,FULL_AVAILABLE,FULL_COST,ETH,BYBIT_PERPETUAL
2025,1,0,1,0.0,-0.8378537222464163,-0.8378537222464217,99.16214627775358,0.0,-0.8378537222464163,-0.8378537222464163,-0.8378537222464177,1,0.0,0.0,-1.0000000000000047,24.0,FULL_AVAILABLE,FULL_COST,ETH,BYBIT_PERPETUAL
2026,2,2,0,100.0,10.952818590463146,11.249618687276424,111.24961868727642,inf,5.476409295231573,5.476409295231573,0.0,0,inf,9.819320444535641,inf,24.0,FULL_AVAILABLE,FULL_COST,ETH,BYBIT_PERPETUAL
2021,1,1,0,100.0,4.479344816979391,4.479344816979378,104.47934481697938,inf,4.479344816979391,4.479344816979391,0.0,0,inf,0.0,inf,24.0,FULL_AVAILABLE,FULL_COST,SOL,BYBIT_PERPETUAL
2022,4,2,2,50.0,1.9027281269519967,1.710585063607553,101.71058506360755,1.4917112083280906,0.47568203173799917,-0.3839773461900106,-3.024981849862074,1,1.4917112083280906,0.2560822557059206,0.5654860585975245,24.0,FULL_AVAILABLE,FULL_COST,SOL,BYBIT_PERPETUAL
2023,3,0,3,0.0,-5.681891484449175,-5.607887809634136,94.39211219036586,0.0,-1.893963828149725,-1.3786547271969865,-5.607887809634137,3,0.0,-1.7948670101873945,-0.9999999999999997,24.0,FULL_AVAILABLE,FULL_COST,SOL,BYBIT_PERPETUAL
2025,3,1,2,33.33333333333333,-0.8154337537962055,-0.9763225971423708,99.02367740285763,0.844126729382939,-0.27181125126540184,-2.2610944752208573,-5.164228088529443,2,1.688253458765878,-0.11552634599276047,-0.18905489463390196,24.0,FULL_AVAILABLE,FULL_COST,SOL,BYBIT_PERPETUAL
2026,2,2,0,100.0,8.292985684011056,8.431737795450005,108.43173779545,inf,4.146492842005528,4.146492842005528,0.0,0,inf,2.276303576438288,inf,24.0,FULL_AVAILABLE,FULL_COST,SOL,BYBIT_PERPETUAL
2021,3,1,2,33.33333333333333,-1.3921100795086438,-1.9561891628218149,98.04381083717819,0.8344334636551252,-0.46403669316954793,-0.29773473407748063,-8.384013357863351,2,1.6688669273102503,-0.1062493859772847,-0.23332371733247642,24.0,FULL_AVAILABLE,FULL_COST,XRP,BYBIT_PERPETUAL
2022,3,1,2,33.33333333333333,-8.92401288930312,-8.838421133813938,91.16157886618606,0.048362008392683405,-2.97467096310104,-1.6506205573733477,-8.838421133813934,1,0.09672401678536681,-1.212900301375076,-1.0000000000000004,24.0,FULL_AVAILABLE,FULL_COST,XRP,BYBIT_PERPETUAL
2023,5,3,2,60.0,19.693084336572404,15.505824109790183,115.50582410979018,2.094359150848414,3.938616867314481,0.8541682455475504,-12.443011507156887,1,1.3962394338989426,0.5231000376568693,1.2461472129051434,24.0,FULL_AVAILABLE,FULL_COST,XRP,BYBIT_PERPETUAL
2024,1,0,1,0.0,-4.463759256070263,-4.4637592560702615,95.53624074392974,0.0,-4.463759256070263,-4.463759256070263,-4.463759256070265,1,0.0,0.0,-0.9999999999999992,24.0,FULL_AVAILABLE,FULL_COST,XRP,BYBIT_PERPETUAL
2025,1,0,1,0.0,-6.933484390735151,-6.93348439073516,93.06651560926484,0.0,-6.933484390735151,-6.933484390735151,-6.933484390735156,1,0.0,0.0,-1.0000000000000004,24.0,FULL_AVAILABLE,FULL_COST,XRP,BYBIT_PERPETUAL
2021,1,0,1,0.0,-3.7221452939996005,-3.7221452939996027,96.2778547060004,0.0,-3.7221452939996005,-3.7221452939996005,-3.7221452939996014,1,0.0,0.0,-1.0000000000000004,24.0,FULL_AVAILABLE,FULL_COST,BNB,BYBIT_PERPETUAL
2023,2,1,1,50.0,1.4249272807547313,1.4168268868858718,101.41682688688587,4.272512378369206,0.7124636403773656,0.7124636403773656,-0.43542303771659796,1,4.272512378369206,0.6206741954357248,3.253908875184588,24.0,FULL_AVAILABLE,FULL_COST,BNB,BYBIT_PERPETUAL
2024,2,1,1,50.0,-1.4549999947220547,-1.4687224018943539,98.53127759810565,0.3092636738916112,-0.7274999973610273,-0.7274999973610273,-2.1064477713508056,1,0.3092636738916112,-0.5275761787961837,-0.6972508038746689,24.0,FULL_AVAILABLE,FULL_COST,BNB,BYBIT_PERPETUAL
2025,5,2,3,40.0,-11.045602880216036,-10.897896204577208,89.10210379542279,0.15383300932926086,-2.2091205760432073,-1.5791323125245424,-11.25690464241087,2,0.23074951399389126,-1.1912878677775929,-0.9681077126227859,24.0,FULL_AVAILABLE,FULL_COST,BNB,BYBIT_PERPETUAL
2026,2,2,0,100.0,2.8654005033793037,2.8786990977220484,102.87869909772205,inf,1.4327002516896519,1.4327002516896519,0.0,0,inf,1.6852141802738183,inf,24.0,FULL_AVAILABLE,FULL_COST,BNB,BYBIT_PERPETUAL
2020,2,1,1,50.0,4.052596336530652,4.01742343064187,104.01742343064187,6.515900962091134,2.026298168265326,2.026298168265326,-0.7347115846318975,1,6.515900962091134,0.7338975047585589,5.468027882879599,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BINANCE_SPOT
