entry_time,exit_time,entry_price,exit_price,pnl_pct,year
2021-10-31 16:00:00,2021-11-01 15:00:00,195.06,204.09,4.479344816979391,2021
2022-03-29 13:00:00,2022-03-30 12:00:00,114.705,114.965,0.07666841026982707,2022
2022-07-08 19:00:00,2022-07-09 18:00:00,38.87,38.6,-0.8446231026498483,2022
2022-07-18 05:00:00,2022-07-19 04:00:00,40.885,43.275,5.695664669194082,2022
2022-10-06 02:00:00,2022-10-07 01:00:00,34.435,33.445,-3.024981849862064,2022
2023-07-15 11:00:00,2023-07-16 10:00:00,28.882,27.792,-3.9239768714077963,2023
2023-09-16 03:00:00,2023-09-17 02:00:00,19.208,18.972,-1.3786547271969862,2023
2023-12-06 01:00:00,2023-12-07 00:00:00,63.247,63.102,-0.37925988584439285,2023
2025-04-14 05:00:00,2025-04-15 04:00:00,133.58,130.76,-2.2610944752208573,2025
2025-04-21 01:00:00,2025-04-22 00:00:00,141.12,137.14,-2.9702947845805117,2025
2025-08-26 20:00:00,2025-08-27 19:00:00,197.33,206.34,4.415955506005163,2025
2026-01-13 16:00:00,2026-01-14 15:00:00,143.44,146.99,2.3249023982152894,2026
2026-06-14 22:00:00,2026-06-15 21:00:00,70.12,74.41,5.968083285795767,2026
