entry_time,exit_time,entry_price,exit_price,pnl_pct,year
2022-06-07 20:00:00,2022-06-08 19:00:00,31049.5,30131.5,-3.106569348942817,2022
2023-01-25 22:00:00,2023-01-26 21:00:00,23618.0,23082.5,-2.4173384706579726,2023
2023-02-17 20:00:00,2023-02-18 19:00:00,24526.8,24607.0,0.17698925257269896,2023
2023-08-14 05:00:00,2023-08-15 04:00:00,29400.4,29369.5,-0.25510061087604746,2023
2023-09-15 23:00:00,2023-09-16 22:00:00,26761.3,26547.0,-0.9507832205460844,2023
2023-11-07 19:00:00,2023-11-08 18:00:00,35408.9,35622.2,0.4523909243156258,2023
2024-01-04 22:00:00,2024-01-05 21:00:00,44456.0,43957.7,-1.2708835702717358,2024
2024-02-01 20:00:00,2024-02-02 19:00:00,43201.1,43041.0,-0.520592415470899,2024
2024-02-26 16:00:00,2024-02-27 15:00:00,52899.2,56780.0,7.1862168047910036,2024
2024-05-15 13:00:00,2024-05-16 12:00:00,63727.1,65970.0,3.3695387833433528,2024
2024-05-17 15:00:00,2024-05-18 14:00:00,66799.9,66760.9,-0.20838332093311518,2024
2024-09-17 11:00:00,2024-09-18 10:00:00,59210.0,59884.5,0.9891656814727242,2024
2025-01-20 07:00:00,2025-01-21 06:00:00,107542.7,102161.9,-5.153407948656676,2025
2025-03-25 20:00:00,2025-03-26 19:00:00,88053.8,86518.6,-1.8934795545450587,2025
2025-05-18 23:00:00,2025-05-19 22:00:00,105936.9,105512.4,-0.5507102341110605,2025
2025-08-10 04:00:00,2025-08-11 03:00:00,118488.9,121709.4,2.567976114218294,2025
2025-09-30 20:00:00,2025-10-01 19:00:00,114314.7,117369.3,2.522097289325,2025
2026-04-13 15:00:00,2026-04-14 14:00:00,72348.4,74974.2,3.479382266919522,2026
2026-05-05 03:00:00,2026-05-06 02:00:00,80520.6,81331.3,0.8568230986853017,2026
2026-06-14 22:00:00,2026-06-15 21:00:00,65286.6,66337.2,1.459212303903096,2026
