entry_time,exit_time,entry_price,exit_price,pnl_pct,year
2021-10-20 13:00:00,2021-10-21 12:00:00,3938.25,4235.15,7.388881482892138,2021
2022-02-16 20:00:00,2022-02-17 19:00:00,3166.9,2908.1,-8.32202942941047,2022
2022-07-16 16:00:00,2022-07-17 15:00:00,1273.7,1350.65,5.891454031561595,2022
2022-08-10 13:00:00,2022-08-11 12:00:00,1822.55,1925.65,5.506909275465701,2022
2023-03-21 13:00:00,2023-03-22 12:00:00,1804.6,1794.6,-0.704139421478444,2023
2023-03-26 09:00:00,2023-03-27 08:00:00,1773.77,1755.25,-1.1941038015075225,2023
2023-05-05 12:00:00,2023-05-06 11:00:00,1910.56,1933.79,1.0658738799095564,2023
2023-06-29 11:00:00,2023-06-30 10:00:00,1867.65,1891.35,1.1189743795678964,2023
2023-06-30 18:00:00,2023-07-01 17:00:00,1931.2,1917.81,-0.8433512841756473,2023
2024-11-13 15:00:00,2024-11-14 14:00:00,3323.25,3110.22,-6.560291130670285,2024
2024-11-27 11:00:00,2024-11-28 10:00:00,3458.19,3606.01,4.124490412614696,2024
2025-08-26 20:00:00,2025-08-27 19:00:00,4594.0,4562.4,-0.8378537222464163,2025
2026-01-13 16:00:00,2026-01-14 15:00:00,3183.07,3344.41,4.918691546211666,2026
2026-03-15 09:00:00,2026-03-16 08:00:00,2112.02,2242.63,6.0341270442514805,2026
